Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
250	|	0.15770033814509887
271	|	0.1555794025708691
261	|	0.14094787541119821
263	|	0.139369959515112
257	|	0.13072549273121511
572	|	0.12981235991817758
2	|	0.12671106640466476
6	|	0.12616307504305235
576	|	0.12407284600706547
249	|	0.12208077896454508
265	|	0.11801280796112984
586	|	0.11770242680781824
259	|	0.11508565120815328
255	|	0.10768866249554256
9	|	0.10593516745199483
560	|	0.10373850981971795
269	|	0.10355547994953826
582	|	0.10259000314451966
565	|	0.10205791920760529
559	|	0.101804311092969
273	|	0.10115396135543943
570	|	0.09895743027199369
588	|	0.09576435022832772
568	|	0.09543271871167082
573	|	0.0948670449266278
563	|	0.09293944203998834
267	|	0.0914763370420065
251	|	0.09133296686019211
567	|	0.09096363909805831
16	|	0.09084968561251809
262	|	0.0902813622175242
575	|	0.08859888393644925
566	|	0.08849379103954709
562	|	0.08687171405239395
8	|	0.08685621617223928
564	|	0.08613265927385542
7	|	0.08545523168440443
571	|	0.08520117326737504
580	|	0.08405800480599061
574	|	0.08390746967756695
569	|	0.08282647891581171
11	|	0.07940430659374284
264	|	0.07847726757008794
577	|	0.07788344050584063
31	|	0.0776206440044985
1	|	0.07713931091023271
272	|	0.07586785901613001
14	|	0.07284089864823717
30	|	0.07139516939264844
23	|	0.056424710973066464
585	|	0.0523212750708033
26	|	0.04649738599835421
17	|	0.0397938375775969

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
584	|	0.5976682065066857
27	|	0.5806605417765454
276	|	0.39895532913444365

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
260	|	0.24878147573147977
254	|	0.20520353922448328
258	|	0.3013832933220907
252	|	0.16164608596998206
266	|	0.19053667814602102
279	|	0.2603207374352874
256	|	0.18182742707084137
583	|	0.24028160535578802
18	|	0.14876623057205135
253	|	0.15846093528792402
4	|	0.12152514807674504
561	|	0.10402588957862605
5	|	0.13040137809750532
25	|	0.13164806743827603
10	|	0.09941620030705234
270	|	0.10551745571005214
578	|	0.08654212569246328
13	|	0.0742282339582277
22	|	0.06288699812165133
28	|	0.060998965303390634

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
579	|	0.2259937617163218
277	|	0.29623906010711365
278	|	0.3859097988322141
21	|	0.12847179369316483
12	|	0.14566939769520607
20	|	0.2974043694091326
581	|	0.2730029824921657
275	|	0.2544533026956209
3	|	0.13987422400934402
268	|	0.238749908037166
589	|	0.10491984125147837
274	|	0.07872347847743266
24	|	0.22495497416736407
29	|	0.17702139137546333
19	|	0.1510961903476537
587	|	0.07400452522855303
15	|	0.10376156905300972

