Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
23	|	0.11142531385396234
30	|	0.10845302355790397
22	|	0.10755243621451192
24	|	0.1075184757022171
272	|	0.10733336153450568
31	|	0.10691131718195222
251	|	0.10624565891061535
4	|	0.10580388046296726
14	|	0.10580049887517527
12	|	0.10578850108329162
1	|	0.10538558649110508
577	|	0.10526749023741112
560	|	0.1035691424751224
11	|	0.10354532225881861
586	|	0.10351716427907376
563	|	0.10330792330178172
575	|	0.10322973473884893
574	|	0.10250135624099888
16	|	0.10183058198492627
250	|	0.1011581217144767
568	|	0.10098132136306068
582	|	0.10082339413762453
259	|	0.10048659595514121
269	|	0.10046559054550394
3	|	0.10011567600893494
264	|	0.09993749639289372
2	|	0.09986951184218805
559	|	0.09968673457095004
9	|	0.09871289902438177
6	|	0.0976465201862102

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
253	|	0.179700977986357
275	|	0.21474107670313125
262	|	0.17680712784769512
27	|	0.12009941939292365
255	|	0.15106330584884023
277	|	0.17609253260220864
28	|	0.16711188263176888
265	|	0.16982248571789918
256	|	0.16214248386258304
263	|	0.2226031932074097
258	|	0.22858648376007754
273	|	0.284066499976211
13	|	0.13948636563410838
8	|	0.14052529167872105
25	|	0.12313257146859671
271	|	0.1545929530821278
252	|	0.13342035622403667
573	|	0.12630953356927585
570	|	0.10673650162619559
254	|	0.17845292201658114

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
276	|	0.30361990447057474
17	|	0.17604612019369228
26	|	0.1467925249758278
19	|	0.1498600309358446
29	|	0.1308916505974836
5	|	0.24189407810828534
20	|	0.13699984122617778
7	|	0.24345047648743498
567	|	0.14860436714253916
279	|	0.16055502753046866
565	|	0.1362099967261259
10	|	0.15378757002771987
261	|	0.18934966346580484
576	|	0.12834590627716486
561	|	0.14116225933435442
257	|	0.29850974343590947
249	|	0.22113018242016869
18	|	0.1765142185364992

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
15	|	0.1757055329370444
569	|	0.1164370689156354
274	|	0.1849647578929912
585	|	0.15790608093434602
564	|	0.13447980107959703
580	|	0.20503197851019023
267	|	0.18840823575891694
581	|	0.18148958979015184
587	|	0.19591551090890075
562	|	0.16090648525486229
278	|	0.16776310962071214
588	|	0.1365897823773936
268	|	0.16063091808645255
571	|	0.10739132900987117
584	|	0.12903168613282834
578	|	0.15253297043211148
566	|	0.1413881334452524
270	|	0.10706995875645477
21	|	0.18149291893821806
266	|	0.21118850644087533
589	|	0.10880475157560626
260	|	0.23324258711473103
579	|	0.17657579718622143
583	|	0.14091591606244383
572	|	0.20399253315667942

