Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
23	|	0.12296963676955473
28	|	0.11996099656463396
30	|	0.1189344433891819
19	|	0.1185135936153984
31	|	0.11710667806894678
262	|	0.11516905724754502
25	|	0.11449335439151614
14	|	0.11414894257781165
29	|	0.1141211576507217
265	|	0.11380311928970396
17	|	0.11375164501973277
581	|	0.11359526041059957
275	|	0.11346018076723087
1	|	0.11333615961459276
274	|	0.11283761787034785
11	|	0.11212292306776815
4	|	0.11038872382861845
586	|	0.1084555774466887
268	|	0.10807020403335109
277	|	0.10762909533297735
587	|	0.10680887236011938
569	|	0.10669441888343556
276	|	0.1066430953528446
278	|	0.10612668775708599
574	|	0.10570556206796773
588	|	0.10559866419398521
279	|	0.10553687468961505
253	|	0.10317784796620218
270	|	0.10297462295290483

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
566	|	0.12417246959372936
272	|	0.12823570247470065
570	|	0.13273034402831313
571	|	0.15405783522324365
567	|	0.1451119014041591
576	|	0.10774639053032399
559	|	0.14014237598385404
6	|	0.15942203695441418
267	|	0.17524205183794025
10	|	0.15171851372903208
563	|	0.18966255680910796
273	|	0.1535423187036274
560	|	0.18740569508026284
254	|	0.2003074384729126
259	|	0.10829956425280317
565	|	0.1718387910050759
266	|	0.24576526476519148
561	|	0.18370492620887716
269	|	0.1150426419938508
13	|	0.21112991962153782
257	|	0.16652790355280248
21	|	0.15917999046882436
579	|	0.2035997261762381

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
12	|	0.12353052625887755
584	|	0.19898956610839105
263	|	0.13331870830439735
580	|	0.13147377865086
562	|	0.17640320969139078
583	|	0.19479874447286283
582	|	0.17468291287346965
2	|	0.15672712448156675
578	|	0.12235592809451591
589	|	0.16219981545672635
255	|	0.17932147836222395
252	|	0.11026730514235945
271	|	0.14206004676241546
5	|	0.15158257321789573
3	|	0.1321192280351247
261	|	0.2187277312889458
264	|	0.1757592963575898
9	|	0.26151559236947447
249	|	0.2699654417376144
7	|	0.19774941391953882
18	|	0.23912927438499693

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
20	|	0.13775705351761916
24	|	0.13049817026025542
26	|	0.1775866585079322
15	|	0.11981583524097379
22	|	0.17918904536840843
27	|	0.19292000806206
8	|	0.11591333561006503
577	|	0.12441597897633697
585	|	0.1330599966075702
575	|	0.12671436634196742
564	|	0.21064808804823953
256	|	0.14501280759332555
573	|	0.16077998175544958
250	|	0.1870288126471711
572	|	0.16989867803007314
260	|	0.16730838172870172
568	|	0.1358897825682604
258	|	0.10464049372399642
251	|	0.2514952887076054
16	|	0.12984399617090972

