Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
31	|	0.12187073060234774
29	|	0.12059114067711076
577	|	0.12034839082220063
585	|	0.1181126779961069
14	|	0.11684367844649404
265	|	0.11647081540891385
1	|	0.11627812116675212
559	|	0.1158617157941272
586	|	0.11561769712518279
11	|	0.11473828986746715
12	|	0.11461371264243929
19	|	0.1138241874265948
584	|	0.11358942252709864
2	|	0.11315241009718437
6	|	0.11312996347458884
4	|	0.11257892338234723
581	|	0.11173275644303016
582	|	0.11149819115542611
278	|	0.10931416202795197
587	|	0.10831291030554813
580	|	0.10773000639244766
589	|	0.10740875757202323
588	|	0.10616039896067818
270	|	0.1044631126951965
578	|	0.10335520038971291
276	|	0.09719179579115365
3	|	0.09213619667512835

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
30	|	0.14582788456906945
26	|	0.16587599361247332
28	|	0.15905933892439889
20	|	0.17323831254609448
23	|	0.1699383509612392
22	|	0.1798811169100536
24	|	0.15943493571860226
17	|	0.20348685439312514
27	|	0.19118344477081517
25	|	0.1518643628644847
15	|	0.20118637228661365
272	|	0.1482804506196537
563	|	0.13265209182604595
567	|	0.1386745205083092
259	|	0.1013833517783404
565	|	0.15286756779135227
251	|	0.17945656911102129
561	|	0.2089406219886725
13	|	0.16539727933941972
16	|	0.11982488999276464
269	|	0.14882587401113503
249	|	0.19029994287240756
579	|	0.16487032419266878

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
8	|	0.1580867629317175
262	|	0.1305056963820329
274	|	0.1142551973989995
256	|	0.16345460900219944
583	|	0.1196931577659283
279	|	0.11562571658787307
275	|	0.12431931967478407
258	|	0.16031113075894107
253	|	0.13067424858386478
254	|	0.2262002884040689
266	|	0.20121444910704717
571	|	0.14708789857706533
273	|	0.16704523553774164
271	|	0.12365773340940321
560	|	0.13607448416432638
267	|	0.1495121124256567
10	|	0.1927670075833166
252	|	0.11645567316305194
255	|	0.206996936520536
277	|	0.1629302444276515
250	|	0.17115446761727868
263	|	0.17679641462085155
260	|	0.17253262046507734
264	|	0.2085610723056959
261	|	0.18336044842042093

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
566	|	0.13537275958425368
570	|	0.17313589231140972
575	|	0.18083286785055175
573	|	0.2397382721141163
574	|	0.1081599691098561
268	|	0.12610187319606692
564	|	0.20852119866030955
576	|	0.10588129745804101
572	|	0.2619497232928226
568	|	0.13296703725711503
562	|	0.21600344687289916
569	|	0.20103734619476635
9	|	0.13922996410459065
5	|	0.20266929479791831
7	|	0.18249683967129623
21	|	0.17064043474097962
257	|	0.2596608039477212
18	|	0.2533060356224747

