Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
586	|	0.10369516950042935
267	|	0.10369516949974715
580	|	0.1036951694996167
19	|	0.10369516949958685
568	|	0.10369516949931919
577	|	0.1036951694991744
26	|	0.10369516949906095
17	|	0.10369516949896947
261	|	0.10369516949887847
13	|	0.10369516949869398
259	|	0.10369516949845774
563	|	0.10369516949844175
571	|	0.10369516949824263
573	|	0.10369516949794574
274	|	0.10369516949738251
579	|	0.10369516949685774
250	|	0.10369516949668656
578	|	0.10369516949554623
21	|	0.1036951694955054
15	|	0.1036951694949197
22	|	0.10369516949476125
566	|	0.10369516949465205
5	|	0.1036951694943942
575	|	0.10369516949438923
589	|	0.103695169494331
3	|	0.10369516949390384
265	|	0.10369516949387295
10	|	0.1036951694935384
567	|	0.1036951694935139
559	|	0.10369516949337683
273	|	0.10369516949330582
8	|	0.10369516949276211
269	|	0.10369516949248288
561	|	0.103695169492284
1	|	0.10369516949221302
23	|	0.1036951694904259
7	|	0.10369516949032416
11	|	0.10369516948955386
29	|	0.10369516948824756
587	|	0.10369516948704592
257	|	0.10369516948703192
16	|	0.10369516948678666
249	|	0.10369516948603671
562	|	0.10369516948453543
24	|	0.10369516948441153
18	|	0.10369516948156021

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
581	|	0.1091811572792715
583	|	0.14920648652397567
276	|	0.37245494824154235
584	|	0.40420118792046705
27	|	0.5768872902321658

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
30	|	0.10703698401852745
31	|	0.13406025694356144
14	|	0.12880336938268971
564	|	0.13109338438935184
20	|	0.11120908251519228
569	|	0.15152668694035387
570	|	0.16414196570784118
263	|	0.14557539536020253
572	|	0.15907034610887602
6	|	0.1591338746958241
25	|	0.14768608077335263
560	|	0.1450761841577787
2	|	0.19446808957904818
278	|	0.21152687688140112
12	|	0.1842950526796825
4	|	0.19157872712111218
268	|	0.22696949688834603
277	|	0.32449312234134875
279	|	0.25611731538210303

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
574	|	0.1064876027826632
266	|	0.1291920387747373
588	|	0.11595424075023401
585	|	0.11315616050093685
264	|	0.10580915546543206
28	|	0.11857937143199054
255	|	0.17263181731747357
254	|	0.17376644887720305
251	|	0.11401541237598366
262	|	0.18942494438580526
275	|	0.14561250545383722
9	|	0.15930333706415983
256	|	0.18874594559864427
582	|	0.15493346529059768
252	|	0.18107315551419048
272	|	0.12942410127792128
576	|	0.10995783640910646
565	|	0.1203940809438502
270	|	0.14235286035137706
271	|	0.2192428813894418
253	|	0.30499139598105246
260	|	0.26744602826296315
258	|	0.2700590417869165

