Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
560	|	0.10369982389171764
588	|	0.10369982379223996
565	|	0.10369982377505632
11	|	0.10369982369558858
586	|	0.10369982262793803
268	|	0.10369982119599389
563	|	0.10369979864512227
584	|	0.10369978999914582
263	|	0.10369977775100639
575	|	0.10369977275624055
578	|	0.10369962781416582
13	|	0.10369953312007475
574	|	0.10369937028288098
581	|	0.10369928959184535
8	|	0.1036991853658164
7	|	0.10369906407127229
16	|	0.1036986446890849
20	|	0.10369842444145516
580	|	0.10369824098007913
10	|	0.1036980781920217
12	|	0.1036980136516955
21	|	0.10369794123498581
250	|	0.10369758199970536
266	|	0.10369717619196461
582	|	0.10369690484161126
28	|	0.10369667339826959
564	|	0.103696550784459
585	|	0.10369635350652066
259	|	0.10369611613537771
271	|	0.10369596059120907
576	|	0.10369566615560959

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
255	|	0.10916828888701849
27	|	0.11015399985181076
561	|	0.11505073900238136
573	|	0.1153906209382287
257	|	0.1172512127377133
559	|	0.11747163019747875
30	|	0.14023403294292658
275	|	0.14528934602653898
9	|	0.14657185550541801
253	|	0.1497586928625925
249	|	0.15795377964684335
579	|	0.18882307132407447
17	|	0.18915670920936478
583	|	0.22441520332629872
23	|	0.22482443572235103
15	|	0.23509289498080857
276	|	0.24494952242269002
572	|	0.24862078948555488

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
273	|	0.1364439096446302
571	|	0.19632212793950002
566	|	0.11714000966570659
562	|	0.15669129229639614
279	|	0.2272212401757249
587	|	0.20949260126650604
1	|	0.16457376942616014
14	|	0.11012829525116606
568	|	0.17841271095380892
265	|	0.21690450755682078
277	|	0.15080332870471574
260	|	0.15849430322352104
19	|	0.22680671452638407
274	|	0.13737978486140479
3	|	0.10673215668087338
264	|	0.17346457475717442
272	|	0.11483807445109476
2	|	0.17560079427686673
569	|	0.21954621543975938
262	|	0.12367963029173186
254	|	0.150532835396946
6	|	0.23345002710164556

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
258	|	0.20279820928203196
278	|	0.12746329088956
270	|	0.14132395130298217
567	|	0.19057064248629751
267	|	0.18287226164541548
577	|	0.1377341016834757
4	|	0.1552937462858618
5	|	0.11935467043361803
25	|	0.2035216937936771
256	|	0.21466171895771954
251	|	0.12310056611288063
261	|	0.22900232909708834
589	|	0.15640275523638786
29	|	0.2051880891272326
269	|	0.17357355527535107
31	|	0.13673841925743013
26	|	0.12305991200281308
252	|	0.1423169011052193
24	|	0.1321824689793022
22	|	0.1340604456435906
570	|	0.13369573513258018
18	|	0.2892636972388954

