Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
264	|	0.1101844950389561
267	|	0.11016681570843896
588	|	0.11016263215196041
272	|	0.109956100835292
566	|	0.10990974893307764
30	|	0.10990861952256896
9	|	0.10990593450016858
582	|	0.10988789811133637
31	|	0.10980166397149625
17	|	0.10975237777728858
16	|	0.10974709690462865
585	|	0.10964543918112268
575	|	0.10962344383756127
586	|	0.1095498335976435
577	|	0.10953191748740387
574	|	0.10953090184048456
7	|	0.10952865189412364
580	|	0.10949523461272753
562	|	0.10940745965600114
571	|	0.10933470612201067
249	|	0.1093315997121407
564	|	0.10928828445888594
26	|	0.10926099259773459
576	|	0.10925446068128117
257	|	0.10924861749887475
568	|	0.10914475574461534
259	|	0.10909771948493374
269	|	0.1090945499686642
573	|	0.1090911565115765
273	|	0.1090713494726224
251	|	0.10905172058767071
23	|	0.10899787800343513
572	|	0.10890499325463654
274	|	0.10890302482707623
8	|	0.10876939676841224
565	|	0.1086795499155588
570	|	0.10864515371052558
14	|	0.10860861503098551
1	|	0.10858524612211255
560	|	0.10847512348669149
13	|	0.10835178536304545
261	|	0.10832046318565246
569	|	0.10827769244069453
567	|	0.10821123277263774
561	|	0.10818503748619501
22	|	0.10810112798019575
3	|	0.10787499272998552
578	|	0.10768638434630819
11	|	0.10761668112511391
563	|	0.10756292056312486
18	|	0.10754160588751498
5	|	0.1073050536754931
6	|	0.107158346060079
10	|	0.10704938429398837
270	|	0.1064824123501823
28	|	0.10610016433661494
587	|	0.1055776418629

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
559	|	0.10699583544749491
265	|	0.11530113002290593
25	|	0.1111989841020022
263	|	0.122047601640959
262	|	0.12413580603472368
255	|	0.12564970470460146
583	|	0.13991812339989454
15	|	0.12545900542841368
250	|	0.14650497527938036
19	|	0.13888966155506352
271	|	0.1751285144416759
252	|	0.1863795258197199
24	|	0.1580733938525534
254	|	0.2068962656461414
4	|	0.20631977807720375
266	|	0.21131260934118204
253	|	0.21944607938046876
256	|	0.22581216702266493
260	|	0.22552120874321052
279	|	0.2505109725315887
258	|	0.2717575336097217

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
589	|	0.11478974561439105
2	|	0.15524661604294165
581	|	0.14616162676847566
276	|	0.4091584726941616
584	|	0.3868161516259223
27	|	0.4162201215980709

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
21	|	0.12994813636629113
579	|	0.17547722320073184
29	|	0.21202300693407428
12	|	0.21878312969741334
275	|	0.2450444586114773
268	|	0.232146103314504
20	|	0.24728214363375037
277	|	0.2872413222130502
278	|	0.3032771741603173

