Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
31	|	0.1635550666556543
30	|	0.1632702047577894
14	|	0.16147921096811835
23	|	0.16131694725256576
2	|	0.15939894669003293
22	|	0.15753563951526833
26	|	0.1559670074114685
4	|	0.15440707074563734
270	|	0.15375728308338585
24	|	0.15258263127680655
272	|	0.15200858380248053
12	|	0.15175907528467944
276	|	0.15169809978371607
19	|	0.151137175648569
560	|	0.15025326779884599
27	|	0.1501735391550903
1	|	0.15006720312276656
559	|	0.14901276668412852
20	|	0.14884174709874678
574	|	0.143602564056274
16	|	0.1424085416274268
29	|	0.1422997955526374
17	|	0.14207231321038344
577	|	0.14105398454066773
279	|	0.13895620882582102
11	|	0.13836698529579117
251	|	0.13323996233048335
15	|	0.13003257728938392
277	|	0.12983279769448297
28	|	0.1268075057280162
568	|	0.11918762238969537

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
25	|	0.12807753127668128
274	|	0.14329187975366317
563	|	0.1539879544763216
278	|	0.12956366434961755
9	|	0.11564477853514457
268	|	0.16321792653579342
8	|	0.14381660424481124
13	|	0.15157731057773752
275	|	0.16969453383404468
273	|	0.14300662513328086
561	|	0.14350244731082784
584	|	0.1486094152475676
250	|	0.17774705658836043
588	|	0.15237199850493896
256	|	0.13559910868107047
10	|	0.15211816098336747
571	|	0.18077761140375193
586	|	0.18223239963348156
581	|	0.15500104413094326
567	|	0.16577959124271768
263	|	0.16912224737583384
18	|	0.17542462132017309
565	|	0.19919986847837423

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
271	|	0.133986692123566
3	|	0.12705522852243545
259	|	0.1794790544145762
587	|	0.17474173398734527
260	|	0.1648708482767552
585	|	0.15781055213492692
255	|	0.186450346279407
580	|	0.17854997611579457
254	|	0.18383869970393604
262	|	0.17317390795591847
583	|	0.2079036350599568
253	|	0.1511852447007297
258	|	0.13544037956580499
578	|	0.19964874009929615
252	|	0.17558360433997008
589	|	0.21808418019470988
582	|	0.1867326237900889
21	|	0.17106215919201384
265	|	0.16958623450568533

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
269	|	0.13179418495146228
575	|	0.16581926740714528
564	|	0.12988797978526623
264	|	0.12335392968647402
569	|	0.1528367340588254
573	|	0.16970792487057548
576	|	0.1871583013969103
562	|	0.16626631909030454
566	|	0.15708687742881175
6	|	0.18885226233490782
5	|	0.17927034910987982
7	|	0.18374786030243623
267	|	0.18882950269523877
266	|	0.14879120288346354
249	|	0.20787436156861216
261	|	0.18039067790494043
570	|	0.21745300145959312
579	|	0.17386512448712152
572	|	0.23939118356894462
257	|	0.23105089818039226

