Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
264	|	0.11793992611849759
566	|	0.11762909487632237
568	|	0.11760546620503054
30	|	0.11741852556886244
267	|	0.11735635815042038
564	|	0.11723627151643991
572	|	0.11715341780725472
562	|	0.11714298198077833
571	|	0.11709827369912659
17	|	0.11706442812008166
582	|	0.11706425541068453
588	|	0.11703911075412055
577	|	0.11703630015046054
573	|	0.11686388831813065
576	|	0.11673225733747779
575	|	0.11659080062481059
272	|	0.11657882979059878
31	|	0.11644929412040245
574	|	0.11638417842355632
585	|	0.11637247918210195
8	|	0.11626983036104624
569	|	0.11613880634940492
570	|	0.11611479144470925
26	|	0.11593514864991948
14	|	0.11586614260958453
560	|	0.1156954726375537
249	|	0.11565568562432146
251	|	0.11535820784522215
259	|	0.11503558090420633
586	|	0.11495041488611762
23	|	0.11478435467696686
7	|	0.11436708469462929
269	|	0.11432803432507334
273	|	0.1142061443617505
580	|	0.11407631569393335
565	|	0.11381474480893636
257	|	0.11376937266063296
13	|	0.11323781157532736
1	|	0.11268708443550432
9	|	0.11254652284009296
6	|	0.11195814506685066
561	|	0.1119459350117538
567	|	0.11133981315973954
270	|	0.11059729604761538
11	|	0.11051242685697224
559	|	0.10997745177900133
261	|	0.10955431534873053
10	|	0.10857992585629457
578	|	0.10852634070490494

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
28	|	0.11485917865806511
18	|	0.11339385876398299
262	|	0.12052353036371534
255	|	0.11795583570617746
263	|	0.13232209676998
22	|	0.11462233294035591
265	|	0.12811443114724064
5	|	0.13736857826383
250	|	0.14828781835447247
271	|	0.1622683077715767
252	|	0.1778784768237287
25	|	0.15805322174993378
4	|	0.17957239180583018
254	|	0.19379182078928622
266	|	0.19682804445716415
256	|	0.20879013236999816
253	|	0.2057005520782683
260	|	0.19805417801794703
583	|	0.19671752340079318
19	|	0.19326194738269653
15	|	0.1873775309728151
279	|	0.23566031517064595
258	|	0.2325084584851932
24	|	0.20086968747500125

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
274	|	0.13908658705714952
16	|	0.12306700036067876
589	|	0.1597673781046784
587	|	0.1526011782685513
21	|	0.1563476857509311
3	|	0.14484940342373756
12	|	0.15501431339937807
579	|	0.1889796388597959
29	|	0.24813245876871648
268	|	0.26040990809564263
275	|	0.25241234991703376
277	|	0.22171526084944365
20	|	0.2731068936366746
278	|	0.28541470158287635
581	|	0.20192744517270061

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
563	|	0.1443044851910298
2	|	0.1645409196996937
276	|	0.4836261281633085
584	|	0.5292759286904941
27	|	0.5212693255639954

