Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
559	|	0.10670048553024582
2	|	0.10660800664383459
1	|	0.10651556064101064
23	|	0.10646246183696861
272	|	0.10642175568429008
577	|	0.10630573020174933
6	|	0.10627094542182532
4	|	0.1062448535945942
582	|	0.10624010981571966
560	|	0.10623963267516356
264	|	0.1062273319402124
251	|	0.10617212404948814
269	|	0.1061679325870626
250	|	0.10603397124071451
30	|	0.10598165919659344
12	|	0.10586847020106946
16	|	0.10586531058426643
574	|	0.10585216988558972
3	|	0.1058450259740719
11	|	0.10584288509858537
575	|	0.10579624361121592
568	|	0.10577987940960659
31	|	0.10560126731214103
259	|	0.10559989933550439
14	|	0.10553455573901434
563	|	0.10536210060619035
9	|	0.10534488520180481
24	|	0.10520427577589013
586	|	0.10516993164684041

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
25	|	0.1274476529430612
570	|	0.10796549039747819
252	|	0.14323906581201007
8	|	0.13997622465183146
13	|	0.14291243451133934
271	|	0.16635664380606524
28	|	0.15941028012692787
255	|	0.14900253644797873
262	|	0.17341557675165598
265	|	0.16960611146071847
253	|	0.17196368406908033
277	|	0.17696577732836075
256	|	0.16495901354144954
254	|	0.18891088049427662
268	|	0.16187481908486445
275	|	0.20553694486591148
263	|	0.22318776024811407
258	|	0.2237225210181497
273	|	0.27473318715245176

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
576	|	0.1346010723608067
22	|	0.10653122852977244
20	|	0.14552725640417313
29	|	0.13785124556738876
561	|	0.1468180547753891
567	|	0.1499579035321058
565	|	0.13889261659881164
27	|	0.11715028288965432
26	|	0.14808357336139064
19	|	0.15006576992425014
261	|	0.19727677191269466
279	|	0.16459183095803537
10	|	0.14829875068394924
249	|	0.2320617917857088
7	|	0.23502025623619227
17	|	0.16649462071808252
18	|	0.1799018920257255
5	|	0.2251305251921153
276	|	0.2707870901462097
257	|	0.2925476743235968

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
564	|	0.13484030539311237
569	|	0.11556166471902304
584	|	0.13120641097794167
589	|	0.1111518776795241
270	|	0.11622458026938098
588	|	0.13816175008836068
578	|	0.15331765414749424
583	|	0.15012211871683745
571	|	0.10794589070664092
562	|	0.1626049935087005
585	|	0.1491857505315593
15	|	0.15875895702877893
581	|	0.1806890908554472
278	|	0.16363907078938342
566	|	0.14528771396812398
587	|	0.19276218437177078
573	|	0.13392964350821004
580	|	0.19911705079327624
21	|	0.18936384125759764
579	|	0.19242116550293276
267	|	0.18815426263059032
572	|	0.22324723399536595
274	|	0.17189495113590558
260	|	0.2318118904068066
266	|	0.20850522524748502

