Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
583	|	0.015451184020534787
581	|	0.013069817510739637
24	|	0.010415861621971159
25	|	0.009868356550697307
3	|	0.00965061912676994
19	|	0.00929428074463768
18	|	0.008834893299564241
257	|	0.008289431889095556
572	|	0.007876194178799072
561	|	0.007864844282163668
5	|	0.007764986306218317
16	|	0.007054606205083631
567	|	0.006953094503130448
9	|	0.0069276736248797734
269	|	0.006927556698718713
565	|	0.006917068275725457
270	|	0.006746460166344288
560	|	0.006658534549310251
576	|	0.006472575435626235
570	|	0.006201066482879921
15	|	0.006087789104362247
573	|	0.005805720079505484
7	|	0.00579399377308948
568	|	0.005652235025877928
582	|	0.005552977388702713
8	|	0.0054123442905450415
569	|	0.00528258163403526
10	|	0.005160273286441267
571	|	0.005052800636616006
13	|	0.005025351439241534
22	|	0.0050053039587627515
562	|	0.00477763184422988
563	|	0.004760982279606534
574	|	0.0047529942974846575
575	|	0.004684107903583133
564	|	0.004657606894692526
578	|	0.004625441155771901
566	|	0.004624364555055546
14	|	0.004585211560807411
588	|	0.004578608562315099
272	|	0.004289519407228374
264	|	0.004274779305337603
580	|	0.004250340131866602
577	|	0.00422970531901895
28	|	0.003936833565077612
31	|	0.00389565609659766
30	|	0.003655025209097376
585	|	0.003201178684316917
23	|	0.0030985107850392468
26	|	0.002779621424484804
17	|	0.0023743206260844582

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
276	|	0.019272711949877296
27	|	0.028430970270548493
584	|	0.030242356686824082

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
261	|	0.008997614223676008
249	|	0.006591721154861635
2	|	0.008046861320542028
259	|	0.006477512470061653
586	|	0.006448315549373088
251	|	0.0050685822215327985
267	|	0.004491646958610851
6	|	0.007635974768229983
271	|	0.012227044923598107
255	|	0.007363239828155154
265	|	0.008269406035917786
559	|	0.0065595030945776725
250	|	0.011376595424197174
263	|	0.009451264726844376
273	|	0.0057820093375359274
1	|	0.004562155700867462
11	|	0.004940679805383799
252	|	0.0128083090316196
260	|	0.016374609974311425
254	|	0.01454499158436225
262	|	0.005941522540871986
266	|	0.013399608789605126
4	|	0.008938159280882589
253	|	0.01052195238280923
256	|	0.011995184442975239
258	|	0.01658338381784299
279	|	0.01314575567546749

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
579	|	0.011531609052731416
21	|	0.007673546836957476
589	|	0.006080116313404784
587	|	0.004318330385222558
274	|	0.004507292412423117
29	|	0.007016112233403968
268	|	0.009198893565136571
20	|	0.010985286624430693
12	|	0.0063256919529207645
275	|	0.009271838072010487
277	|	0.009790854398895064
278	|	0.013399887537989007

