Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
17	|	0.06857377347954895
276	|	0.06827999097382112
19	|	0.06413099919505974
26	|	0.06363342448664501
28	|	0.06336272581222747
562	|	0.06292714327350311
569	|	0.06261054952364127
566	|	0.06219558431965847
8	|	0.06184371700693749
267	|	0.061542928337128044
22	|	0.06150169765005711
564	|	0.061065581913264215
31	|	0.06099548950922994
573	|	0.06080396600923917
14	|	0.06071608250398829
270	|	0.06048990021204201
571	|	0.06018105567717774
29	|	0.06002950690140461
23	|	0.05998478240908328
27	|	0.05997414857181997
572	|	0.05967691404813413
570	|	0.059437961612805894
575	|	0.0594351194915912
272	|	0.05927975048038382
574	|	0.058525735556716786
577	|	0.05844028778184737
30	|	0.058412827064297394
256	|	0.0584070584690897
260	|	0.05819113656778873
24	|	0.05817467069699973
20	|	0.058162080837555356
266	|	0.05774425671561841
560	|	0.057652222907301
25	|	0.05721909080143105
565	|	0.05721563094384138
567	|	0.05719277488530718
251	|	0.05705070894731067
563	|	0.05665040568521236
13	|	0.05652234625545111
11	|	0.05617233906208045
16	|	0.05599772378789372
4	|	0.055564640923526296
15	|	0.055428846353303876
12	|	0.05530106131592906
255	|	0.05525861503377285
265	|	0.05513636477135714
1	|	0.05499589346669561
568	|	0.05490920166081474
259	|	0.05481991412239843
264	|	0.05476572885049077
6	|	0.05467109843698933
2	|	0.05440051155478747
585	|	0.054289251605418094
262	|	0.054126461529640624
5	|	0.05412307696187749
277	|	0.05409566633692236
10	|	0.053935487615015036
3	|	0.0536812368381316
561	|	0.05364643262292602
7	|	0.053645322355978235
279	|	0.05334877909486593
589	|	0.05319153511424904
250	|	0.053055093907566145
9	|	0.05297295241166919
559	|	0.05290219591479679
254	|	0.05256392157431542
582	|	0.0525494207997779
586	|	0.052537122126045624
263	|	0.05253164709693524
253	|	0.052507755520201774
578	|	0.05246129343782212
271	|	0.052380099718476555
580	|	0.05201967024537571
587	|	0.051788033462304706
252	|	0.05172641622214775
269	|	0.05155655068298161
584	|	0.05145521413726472
588	|	0.05141122418234403
278	|	0.05127379882709682
18	|	0.0511957707533378
576	|	0.050854948661210854
275	|	0.050854779062971985
581	|	0.05045839317253542
274	|	0.05012218178532973
261	|	0.04992471766365806
583	|	0.04969529741992438
249	|	0.048944861686249334
21	|	0.04873740271187005
268	|	0.04865746506129546
258	|	0.0479697108423262
273	|	0.04672091701090777
579	|	0.04653476525426119
257	|	0.043870233811878497

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score

