Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
266	|	0.7511380159647741
17	|	0.7392446813466566
28	|	0.731099088259869
30	|	0.7307588212319603
271	|	0.7083066886051094
6	|	0.7035064451496655
570	|	0.7016897223897013
31	|	0.6909159510400872
273	|	0.690779653249192
27	|	0.6849645750718907
26	|	0.6798022932123113
559	|	0.6766425470730629
29	|	0.6677501299616614
585	|	0.6646603434336377
20	|	0.6639613039931115
15	|	0.6620052625939721
25	|	0.6442147894911558
572	|	0.6438027139768794
14	|	0.6432773261930992
272	|	0.6343929160691949
22	|	0.6343042374338548
270	|	0.6244203057940028
265	|	0.6224222890373646
573	|	0.6205965472577273
23	|	0.6165788580699262
19	|	0.6158084146462052
24	|	0.6146175723745001
584	|	0.6109730448309774
586	|	0.6108572579159263
254	|	0.6048119327089586
577	|	0.604658754172976
2	|	0.5966640319011411
279	|	0.5933144350713188
583	|	0.5811675740937772
274	|	0.5798660749651465
1	|	0.5791496828223995
267	|	0.575722187419094
268	|	0.5633583113963877
278	|	0.555491196259002
11	|	0.5540627461460537
260	|	0.5509839934071341
276	|	0.5335081446766943
575	|	0.533285307252803
275	|	0.528960593972648
4	|	0.5196686909946374
277	|	0.5068509396766102
262	|	0.5067813161672219
574	|	0.493741259638169
258	|	0.49037827740260964
253	|	0.47922063376574964
264	|	0.4552260222859399

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
582	|	0.5700777507063808
589	|	0.5708225042646324
587	|	0.5121201965060798
8	|	0.5854640745171443
581	|	0.5442051115964337
588	|	0.5470884959580025
580	|	0.6273468169474904
578	|	0.5870118148021971
566	|	0.6839417679849503
562	|	0.6789195356575545
569	|	0.5080136728268954
10	|	0.6649051915678214
567	|	0.6796120735891742
259	|	0.5255388533928005
576	|	0.5612394727667818
571	|	0.6587500125727751
568	|	0.6487150081881474
560	|	0.7102966221465111
269	|	0.4487737478855654
565	|	0.6240897261113869
21	|	0.5159886214146101
563	|	0.705226081413555
561	|	0.6111127225944708
16	|	0.3963425940413205
257	|	0.5065342532539479
13	|	0.5846779025400953
579	|	0.5582120224424792

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
12	|	0.5298260384853491
9	|	0.6744224550613211
5	|	0.5473444685574066
3	|	0.41860945340015054
7	|	0.5695050773164997
261	|	0.4750394027604921
18	|	0.6307697896113382
249	|	0.517744144287055

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
256	|	0.5221221995889469
564	|	0.5328966634236609
263	|	0.45574668033956184
252	|	0.4475818475419509
250	|	0.5427560533149671
255	|	0.5446038153302399
251	|	0.5632271712617032

