Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
17	|	0.9057360865889668
27	|	0.9015000495518851
22	|	0.8926541901215296
20	|	0.8923254402707298
26	|	0.8895848463836512
15	|	0.8890231019203954
23	|	0.8844043220859783
28	|	0.8814754503470618
24	|	0.8744842686913663
30	|	0.8652748379698584
25	|	0.8455216669447502
272	|	0.8308554074366604
31	|	0.8279488751460858
29	|	0.8206097517361548
585	|	0.7986962841061733
14	|	0.7741290266896411
19	|	0.7649405548181042
1	|	0.7623123599492041
8	|	0.7386244787911075
12	|	0.7372165524015704
2	|	0.7352140910667169
577	|	0.7287141002606818
11	|	0.7274830646778354
584	|	0.7192839936592264
559	|	0.718406524573686
6	|	0.7183185728954672
265	|	0.7122176539004555
581	|	0.6977429543653052
586	|	0.6965679862547675
262	|	0.6928418361014584
570	|	0.6903200280553271
4	|	0.68048225073242
583	|	0.6780236148048486
274	|	0.6644531794241574
587	|	0.658489293940673
566	|	0.6440383556663909
582	|	0.6406674303004997
278	|	0.6392476723200944
279	|	0.6371221238800252
270	|	0.6343671896699827
575	|	0.6170645589258427
589	|	0.6166855501223151
580	|	0.6115447470404682
268	|	0.6010486105033699
275	|	0.596697696030036
578	|	0.5965618649438742
276	|	0.5895799972050716
256	|	0.5820617740545511
573	|	0.5717239252370254
574	|	0.5700067009084449
588	|	0.5646297002883945
273	|	0.5618854874936907
576	|	0.5607684515551297
258	|	0.5493084048544671
271	|	0.5460274671102913
253	|	0.5398404471318298
254	|	0.5307826127190606
572	|	0.5286380488712459
277	|	0.5206263174748094
267	|	0.5203432258789926
266	|	0.5175003746922181
564	|	0.4975173232239349
560	|	0.49697979718175467
3	|	0.49122682054357386
10	|	0.4911793947963768
563	|	0.48690319903883367
259	|	0.4801463654452149
567	|	0.4788391997874402
9	|	0.47774337902095904
568	|	0.47140382461271224
263	|	0.4571628229588003
252	|	0.4413307325072118

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
5	|	0.48869716373251515
565	|	0.3958246615743735
16	|	0.2987245804905083
13	|	0.495121766083485
7	|	0.4800754561420598
21	|	0.459584619536375
561	|	0.4634753559736418
269	|	0.3907498310442388
18	|	0.5131685283365137
249	|	0.41900817874538254
257	|	0.4990562673919197
579	|	0.3539960329931741

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
255	|	0.5018220372642447
264	|	0.4517450065915551
250	|	0.4529650934058274
260	|	0.4401082199922417
251	|	0.3843450743827925
261	|	0.4276334543852858

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
571	|	0.5059367589753975
569	|	0.49866229372879994
562	|	0.5564870858819835

