Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
569	|	0.4243970784370503
564	|	0.4219725632288493
14	|	0.4215982409276154
31	|	0.4212514924573963
30	|	0.4185773664318875
560	|	0.41648542930609156
8	|	0.41599156715358865
567	|	0.4153351994384273
570	|	0.4137385811446094
265	|	0.41272860937178735
566	|	0.41261065800571733
561	|	0.41130778433161
251	|	0.4106728043533787
7	|	0.4097708157728627
28	|	0.40950713760772756
18	|	0.4071412261893833
13	|	0.40701557541753514
573	|	0.40629715782000314
562	|	0.4042532722832897
571	|	0.40371910208944484
579	|	0.4025609338478337
565	|	0.40220303971426885
575	|	0.40130543541299146
263	|	0.4008998831086936
257	|	0.4008272030155998
267	|	0.400570453000206
578	|	0.3997866498988238
259	|	0.399577746675389
572	|	0.39957548450883046
23	|	0.3994594168719409
580	|	0.39919982140039795
588	|	0.3989017410687902
577	|	0.39832087946358996
582	|	0.39830051523608706
10	|	0.39678166593283454
273	|	0.39636065332953196
266	|	0.39495689200686357
19	|	0.39397310790572954
585	|	0.3936019055736288
568	|	0.3932929653451991
249	|	0.39292459265498014
586	|	0.39285594993626
25	|	0.3927754089847201
22	|	0.392310684567978
274	|	0.39139988202267995
261	|	0.38913987893025764
5	|	0.3888577781334381
576	|	0.38825953419889686
250	|	0.3872130292760256
24	|	0.3868657958340752
252	|	0.38658994103970784
574	|	0.38650378860715173
15	|	0.3862245191521696
26	|	0.38525102025119995
589	|	0.38511375589522073
17	|	0.3845803628742188
559	|	0.38235167804283676
3	|	0.3808825347543817
581	|	0.38054360594019504
255	|	0.3804586066326128
587	|	0.37861343861445923
262	|	0.37606693425415877
563	|	0.3733175018295895
256	|	0.37235285222146847
260	|	0.3705834296365077
264	|	0.3702190437269404
583	|	0.36900353219022025
16	|	0.36865443814244403
11	|	0.3678172826949094
29	|	0.3668539306770357
1	|	0.3661186586530062
254	|	0.3638685997286869
270	|	0.36287444446828354
9	|	0.36186731209488726
21	|	0.36086581899866466
271	|	0.3604518492086821
269	|	0.3582064420047016
20	|	0.3560549529438044
253	|	0.3481083798852047
275	|	0.3427894762101384
6	|	0.3398993698300145
258	|	0.3343568363199981
12	|	0.33121511077970167
272	|	0.32961996310497527
4	|	0.32658365096562475
2	|	0.31567473156082965
268	|	0.3144596164408325
278	|	0.313716437151753
279	|	0.297503473868657
277	|	0.2784882137259181

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
276	|	0.945463574812946
27	|	0.9098887905973599
584	|	1.0

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score

