Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
273	|	0.9573257793416275
560	|	0.9573211800476296
588	|	0.9573139483433715
565	|	0.9573127680566359
11	|	0.9573074937181026
586	|	0.9572478752234321
258	|	0.9572142504912076
263	|	0.9560312086217155
268	|	0.9553707224562807
278	|	0.9522859984578724
562	|	0.9487699372856039
279	|	0.9439651879192521
571	|	0.9437554849020855
587	|	0.9432995931568883
581	|	0.9432748133243852
563	|	0.942643680461211
567	|	0.9398129708345098
584	|	0.9396582730151551
7	|	0.938125470626205
267	|	0.9361728997616667
575	|	0.934707204833232
577	|	0.931801246038248
1	|	0.9289240332634784
20	|	0.9250284976499363
580	|	0.9215856123001173
14	|	0.9183365765922309
12	|	0.9174749152579734
4	|	0.9169278981275025
5	|	0.9168956353488872
566	|	0.9102974217261094
578	|	0.9097768146239741
256	|	0.9068497342810099
251	|	0.9035696150719716
265	|	0.9034019309235607
13	|	0.8990107258668405
28	|	0.8959306951537381
29	|	0.8957396516003833
277	|	0.8951668807237472
564	|	0.8941435006558794
585	|	0.8913212499347348
19	|	0.8847306687366676
574	|	0.8843556666611024
31	|	0.8841844927246902
274	|	0.882743741178204
26	|	0.8790840068678109
270	|	0.8715379111155773
8	|	0.8710003529840649
255	|	0.8694125015082917
272	|	0.8689951433669588
27	|	0.8682977778071057
569	|	0.8663772939278981
262	|	0.8652658604382867
24	|	0.8643391326980806
22	|	0.8634121763639262
16	|	0.8417309956884096
10	|	0.8189526704003469
25	|	0.8143428774026097
21	|	0.8141718512838246
250	|	0.8026083570506369
568	|	0.7920450622665982
266	|	0.7909163864028937
261	|	0.7870675560111455
582	|	0.7837474149426541
589	|	0.7804501795985587
260	|	0.768101884551499
259	|	0.7651822917598469
269	|	0.7644031470124368
271	|	0.761849500659694
576	|	0.7557880952069538
3	|	0.7470724928321127
252	|	0.7374047186138231
264	|	0.7368254144210142
2	|	0.7334466845395867
561	|	0.727753188646155
573	|	0.7272136459340778
257	|	0.7242731405125267
559	|	0.723926248404233
570	|	0.7152979308518655
254	|	0.7055940982876854

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
9	|	0.6837548894625374
249	|	0.6964471873071015
6	|	0.7139808491788734
579	|	0.7196634970820699
583	|	0.7316591738247104
18	|	0.7325829652322453
572	|	0.7336115089628655

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
30	|	0.8947615564839618
275	|	0.9029705332409567
253	|	0.9096429482535344
17	|	0.9490611962040719
23	|	0.962990121003873
15	|	0.9643326966181563
276	|	0.9648092090016506

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score

