Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
270	|	0.9594518337350026
28	|	0.9494055237088563
560	|	0.9486000740022497
569	|	0.9473146820652283
570	|	0.9471933381353106
14	|	0.947114563688884
13	|	0.9469117801104427
18	|	0.9465353092927452
8	|	0.946050050000026
561	|	0.9436013344153538
573	|	0.9426650831266747
23	|	0.9426640630896058
576	|	0.9421300435352374
562	|	0.9391932573431704
577	|	0.9377372708303765
572	|	0.935855784986658
574	|	0.9352589715454183
575	|	0.9349564373589312
567	|	0.9343327888877059
568	|	0.9342006945169108
269	|	0.9337128773750314
31	|	0.9319230578647143
571	|	0.9319097200662223
10	|	0.931728320665909
582	|	0.9299865856327714
580	|	0.9298433206145768
585	|	0.9295207774412442
30	|	0.9284825253280427
26	|	0.9284651808228188
564	|	0.9277045199673862
22	|	0.9265325912772537
578	|	0.919696382912171
264	|	0.9195817067683955
588	|	0.9192487395388956
566	|	0.9173546430655019
7	|	0.9147076794540663
17	|	0.9115076221649648
272	|	0.9114918826940158
5	|	0.9086636325182216
3	|	0.9074059468178055
565	|	0.9067060730582106
267	|	0.901614652961324
25	|	0.8990023411974548
16	|	0.8935704162995285
589	|	0.8892837229237563
257	|	0.8819508666399821
249	|	0.881306235177269
274	|	0.8803930286187179
587	|	0.8799371071228392
9	|	0.87651259935258
19	|	0.8714890837023638
586	|	0.866415832759993
251	|	0.8633080660004586
583	|	0.8599138934941803
259	|	0.8568512277044238
563	|	0.8553642427322546
15	|	0.8485118836930998
21	|	0.8474356067835385
273	|	0.8392706138083569
1	|	0.8344248772659257
261	|	0.8255914957287253
581	|	0.8156890935382203
11	|	0.8098028632765351
579	|	0.8044672817830566
24	|	0.7997845265273782
559	|	0.7926732624198655
6	|	0.7877539086395225
265	|	0.7857093775015251
263	|	0.769416592980075
255	|	0.7661544132464497
262	|	0.7593578560754111
29	|	0.7560260530722956
250	|	0.7045245107407407
2	|	0.6750404487123374

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
271	|	0.6739491253985642
252	|	0.6877158263561157
254	|	0.7255645284952944
266	|	0.7328106151450836
4	|	0.7317256910726656
253	|	0.7501077360486109
260	|	0.7634959986525048
256	|	0.7596197994939002
258	|	0.8377488769800172
279	|	0.7896148343069523

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
276	|	0.9933451479581532
584	|	0.978771054861042
27	|	1.0

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
268	|	0.8062861889087726
20	|	0.8408376879492154
275	|	0.7960849392808287
12	|	0.6572465886056854
278	|	0.9428211883042444
277	|	0.8149819526284664

