Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
276	|	1.0
17	|	0.9700151806836408
19	|	0.9495660647652978
26	|	0.9424072843393069
570	|	0.9129365769882823
572	|	0.9017093631966329
29	|	0.8953876995580854
28	|	0.8870632712065097
20	|	0.8866859547426631
270	|	0.8856333179846049
22	|	0.8792471560083432
573	|	0.8776510253488254
31	|	0.8773629268495793
267	|	0.8714440014899235
14	|	0.8598849554257152
27	|	0.8544260654118386
575	|	0.852714924144977
562	|	0.8464453713781732
8	|	0.8391407015012111
6	|	0.8343069351994998
30	|	0.8232542234429064
566	|	0.8194106407788629
569	|	0.8179999630245997
564	|	0.8145843337013844
574	|	0.8060900815815258
279	|	0.805813041629918
266	|	0.8053871606713329
577	|	0.7960498281782773
260	|	0.7866934616384514
264	|	0.77734489792361
585	|	0.7744059196912796
256	|	0.7727230537651758
4	|	0.7640180411591041
24	|	0.7632334152384912
23	|	0.7560115288668315
25	|	0.7544382050715897
12	|	0.7511067505110572
560	|	0.7486239770765921
277	|	0.7442504527592587
586	|	0.7421428979066839
2	|	0.7410303520129783
583	|	0.7380733725334503
272	|	0.7357160920786193
15	|	0.7317298801263026
571	|	0.7268009082017496
589	|	0.725779349922906
559	|	0.7252275041572277
578	|	0.7246683106380983
278	|	0.7197816978776311
582	|	0.7154641689121377
16	|	0.6962904265661405
588	|	0.692476846461317
584	|	0.6838892905925145
250	|	0.6835035902149018
580	|	0.6794722662689314
1	|	0.6763871677617725
11	|	0.6735327167466187
274	|	0.6689679176573398
251	|	0.667975906243203
3	|	0.6663426583409828
271	|	0.6654618152250494
259	|	0.65717602565688
269	|	0.6520282557688735
563	|	0.651625241726783
9	|	0.6504596387887234
587	|	0.6490560116441864
268	|	0.6486276354531718
568	|	0.6415796874050426
565	|	0.6126610086257774
252	|	0.5802827057087503
576	|	0.5463310183448954

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
13	|	0.6622336747608354
567	|	0.6016114691748542
561	|	0.6216007265625564
10	|	0.6783770423756111
18	|	0.7194684129769888
7	|	0.6997673968870969
5	|	0.7395572219034242
249	|	0.6013622408826483

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
254	|	0.65214591492048
265	|	0.6198051390236184
263	|	0.6491064071036609
262	|	0.6283809369853322
255	|	0.6164504548344529
273	|	0.6179207352864895
253	|	0.5982279166002537
258	|	0.6538594830169506

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
581	|	0.6620766390837842
275	|	0.6071021279614048
21	|	0.6559551622709207
579	|	0.6764907119571122
261	|	0.5387530747828468
257	|	0.6641973950158164

