Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
260	|	0.9514278065669213
11	|	0.9490687941073647
254	|	0.9423874165512606
252	|	0.939459814118192
271	|	0.9388852281351199
266	|	0.9384399484688908
1	|	0.937477223281371
258	|	0.9370783894100871
253	|	0.9339332510933444
559	|	0.9280506298451923
255	|	0.9235113114174928
256	|	0.9215509727846989
250	|	0.9122756464229312
262	|	0.8880536998659695
4	|	0.8747248762673334
259	|	0.855680078008148
251	|	0.844737466864707
6	|	0.8288404698272981
265	|	0.8212918935851399
263	|	0.8198413429564723
2	|	0.8165604913471758
273	|	0.8123189327335754
261	|	0.8116404034855348
249	|	0.8099629854471564
9	|	0.8066644195598773
586	|	0.7602840260011775
279	|	0.7589838121203605
264	|	0.7302128669172929
257	|	0.7140090534486842
7	|	0.6908615001930191
585	|	0.5534827718607905

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
16	|	0.7736758338839681
3	|	0.9253314650272982
584	|	0.4227090465184511
276	|	0.6080017737669633
27	|	0.48679365147037673
22	|	0.9343472821329022
581	|	0.9493174187874054
25	|	0.95939122557684
269	|	0.6699178030159664
24	|	0.9645492798612938
15	|	0.9631917519171833
19	|	0.9724634419065616
583	|	0.9605774997041591
5	|	0.9521666759847344
18	|	0.6990881846080725

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
12	|	0.7598034889525204
277	|	0.8627824392965638
274	|	0.8586070153802476
563	|	0.6295255990829786
275	|	0.9353943276659207
580	|	0.7260144743630851
278	|	0.9360542610629736
268	|	0.9388948414936275
29	|	0.9376103272982006
20	|	0.9373416406282158
21	|	0.8223594577600924
10	|	0.8161380631683088
578	|	0.8625423989242005
579	|	0.8156758632402705
587	|	0.905695658199506
589	|	0.9193936575088617

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
272	|	0.7610202503304703
566	|	0.7423453771715776
267	|	0.7029970617082615
17	|	0.7733463666416825
571	|	0.8452659900891409
565	|	0.7183542808612338
564	|	0.8901713673031312
588	|	0.7278255583248403
568	|	0.902339561959398
30	|	0.8424409732653358
572	|	0.912496399381914
582	|	0.8359749709736967
562	|	0.9044254514533505
576	|	0.8894164027734771
573	|	0.9532827882829853
577	|	0.8821644293594834
560	|	0.9612271596189711
569	|	0.965685518397981
574	|	0.6819377342557398
31	|	0.8611705070445714
575	|	0.8593149855653455
8	|	0.9724255728819351
570	|	0.9801136095149442
561	|	0.6847417130221151
567	|	0.6473628161141702
14	|	0.9892294461688581
23	|	0.8593503243740048
270	|	0.9906286921776232
13	|	0.7490535828443013
26	|	0.7097804535025604
28	|	0.7857311283566724

