Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
575	|	0.9503166138948281
562	|	0.9461587691842435
569	|	0.9436797829052365
573	|	0.936149043592217
566	|	0.9221895021058671
572	|	0.9150985044510397
570	|	0.8677125584295334
17	|	0.8666928532711144
8	|	0.8570354852760612
564	|	0.8538552097467945
19	|	0.8262459370316203
574	|	0.8197920573228331
267	|	0.802484046745099
276	|	0.8016179958264571
6	|	0.7913873453925494
577	|	0.7851192653797305
26	|	0.7806586898438063
571	|	0.7805090554839749
28	|	0.7745467644235794
270	|	0.7593803152755314
264	|	0.7447061089119302
29	|	0.696879601636162
31	|	0.694061982880034
22	|	0.6907189408711766
260	|	0.6864713058779094
14	|	0.6383919688633554
20	|	0.6347173602534346
560	|	0.6321271880030317
25	|	0.6117390694616334
272	|	0.6051687141236561
30	|	0.5475997110653605

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
266	|	0.6612978604084717
256	|	0.7302789536818285
559	|	0.5733691079336694
279	|	0.5797070628573996
277	|	0.6986684091483348
271	|	0.7753721559921051
254	|	0.8190325710547098
250	|	0.8148404155941766
265	|	0.8455890095532881
263	|	0.8657233981474298
252	|	0.8679955259931516
255	|	0.7930046344665398
274	|	0.6232394643046205
268	|	0.6582851839995069
262	|	0.8664960917997633
275	|	0.751168067128703
273	|	0.8195364348536406
253	|	0.8482022247854047
258	|	0.8661628241532245
261	|	0.6676670487440738

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
27	|	0.5879651205969112
4	|	0.5203259798387347
12	|	0.6149453501790959
585	|	0.8111876897511596
15	|	0.689874780963972
589	|	0.7675744430186306
583	|	0.8583541789871776
586	|	0.6704267940219192
578	|	0.8560676043962786
278	|	0.749930320329366
582	|	0.7582420504196781
584	|	0.7937573837511229
588	|	0.8012929258330803
580	|	0.8616516164698398
269	|	0.6642374823445699
587	|	0.8528795688600297
581	|	0.8050646757265915
21	|	0.7528394764286082
579	|	0.7305478987149976

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
2	|	0.6020663710729466
259	|	0.5404050631884972
16	|	0.7076732099518531
23	|	0.539247381986285
563	|	0.7831579162257388
24	|	0.5628673568905811
568	|	0.7540180365068437
251	|	0.6024463196755389
11	|	0.7167933915027364
565	|	0.7342368423786012
13	|	0.8253553641656869
3	|	0.6220567938110191
1	|	0.6092815544621333
9	|	0.6990791393999668
567	|	0.7946338499253812
561	|	0.8696271627525395
10	|	0.829552620369504
5	|	0.8693440394885428
7	|	0.8651473320891261
18	|	0.7241643718749667
576	|	0.694421399879987
249	|	0.645975377510273
257	|	0.5770864666288561

