Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
19	|	0.9302748307276952
3	|	0.9274396688157186
25	|	0.9200171297998676
15	|	0.9199752284053704
583	|	0.9154762243560874
581	|	0.9006434864093064
24	|	0.8828131966908281
22	|	0.8802735560726958
16	|	0.8577679494681731
567	|	0.8497126772524822
561	|	0.8420599685005821
28	|	0.8182148519299332
7	|	0.8145971000252511
565	|	0.8081723474883427
5	|	0.8046470561095302
270	|	0.8045171582421908
18	|	0.7881339559067124
9	|	0.7830614489933457
560	|	0.7736722092065927
13	|	0.7708178554914418
569	|	0.7707454508481443
257	|	0.7674320275481671
269	|	0.759827049567519
14	|	0.7493498030353564
572	|	0.7472093215444591
570	|	0.7455540896060494
8	|	0.7430516463557172
571	|	0.7397007718132557
573	|	0.7382116703798635
585	|	0.7359371732154237
568	|	0.7304043139979766
17	|	0.7292061489868923
26	|	0.7020196920564186
272	|	0.6979768996804228
562	|	0.6941468644266588
564	|	0.6934885688039595
574	|	0.682073215115584
264	|	0.6808764598050174
577	|	0.6770369389822765
566	|	0.6753220743193515
582	|	0.6742980146790992
23	|	0.6689809082122415
30	|	0.6611523370331954
576	|	0.6609650671286933
575	|	0.658420760606098
249	|	0.6528042116792754
31	|	0.6345694336192119
267	|	0.6146394410986855
588	|	0.6140518038545422

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
251	|	0.643887197915455
1	|	0.6916351602778437
11	|	0.7132584774352864
259	|	0.6594664070422784
261	|	0.7268984970594072
586	|	0.6443438057614644
2	|	0.7040930249860442
559	|	0.7448178103103636
273	|	0.6764191866356275
255	|	0.767714371702182
265	|	0.7819589638158686
6	|	0.7190416055700122
262	|	0.7594916085571182
263	|	0.7747677910778921
271	|	0.840560889650503
250	|	0.8138235031706891
252	|	0.8597378360203966
4	|	0.8658777556814605
254	|	0.8788380953914249
260	|	0.8826587640487762
266	|	0.8817736323913188
253	|	0.8915547460505895
256	|	0.8930097663438311
258	|	0.9125676345320596
279	|	0.87868568423076

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
10	|	0.6966561516023576
578	|	0.7060217659037785
580	|	0.6474891829549135
563	|	0.6172834873212847
21	|	0.7935336251482462
587	|	0.7867606383592359
589	|	0.79125774382464
579	|	0.8446563111480102
274	|	0.7340732018847858
29	|	0.9058687982570761
268	|	0.9146575238239097
12	|	0.6853737175496527
20	|	0.9285565759987259
275	|	0.8720258514652001
278	|	0.9270057712174405
277	|	0.7687577130287747

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
276	|	0.9903555598034888
27	|	0.9997595097318406
584	|	0.9585298138217417

