K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	0
3		|	3
4		|	0
5		|	3
6		|	0
7		|	3
8		|	3
9		|	3
10		|	3
11		|	3
12		|	1
13		|	3
14		|	3
15		|	3
16		|	3
17		|	3
18		|	3
19		|	3
20		|	1
21		|	1
22		|	3
23		|	3
24		|	3
25		|	3
26		|	3
27		|	2
28		|	3
29		|	3
30		|	3
31		|	3
249		|	0
250		|	0
251		|	3
252		|	0
253		|	0
254		|	0
255		|	0
256		|	0
257		|	0
258		|	0
259		|	0
260		|	0
261		|	0
262		|	3
263		|	0
264		|	3
265		|	0
266		|	0
267		|	3
268		|	1
269		|	3
270		|	3
271		|	0
272		|	3
273		|	3
274		|	3
275		|	1
276		|	2
277		|	1
278		|	1
279		|	0
559		|	3
560		|	3
561		|	3
562		|	3
563		|	3
564		|	3
565		|	3
566		|	3
567		|	3
568		|	3
569		|	3
570		|	3
571		|	3
572		|	0
573		|	3
574		|	3
575		|	3
576		|	0
577		|	3
578		|	3
579		|	1
580		|	3
581		|	3
582		|	3
583		|	3
584		|	2
585		|	3
586		|	0
587		|	3
588		|	3
589		|	3

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
2		|	0
4		|	0
6		|	0
249		|	0
250		|	0
252		|	0
253		|	0
254		|	0
255		|	0
256		|	0
257		|	0
258		|	0
259		|	0
260		|	0
261		|	0
263		|	0
265		|	0
266		|	0
271		|	0
279		|	0
572		|	0
576		|	0
586		|	0
12		|	1
20		|	1
21		|	1
268		|	1
275		|	1
277		|	1
278		|	1
579		|	1
27		|	2
276		|	2
584		|	2
1		|	3
3		|	3
5		|	3
7		|	3
8		|	3
9		|	3
10		|	3
11		|	3
13		|	3
14		|	3
15		|	3
16		|	3
17		|	3
18		|	3
19		|	3
22		|	3
23		|	3
24		|	3
25		|	3
26		|	3
28		|	3
29		|	3
30		|	3
31		|	3
251		|	3
262		|	3
264		|	3
267		|	3
269		|	3
270		|	3
272		|	3
273		|	3
274		|	3
559		|	3
560		|	3
561		|	3
562		|	3
563		|	3
564		|	3
565		|	3
566		|	3
567		|	3
568		|	3
569		|	3
570		|	3
571		|	3
573		|	3
574		|	3
575		|	3
577		|	3
578		|	3
580		|	3
581		|	3
582		|	3
583		|	3
585		|	3
587		|	3
588		|	3
589		|	3

