K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	0
2		|	1
3		|	1
4		|	2
5		|	0
6		|	1
7		|	0
8		|	0
9		|	1
10		|	0
11		|	0
12		|	2
13		|	0
14		|	2
15		|	2
16		|	0
17		|	2
18		|	1
19		|	2
20		|	2
21		|	1
22		|	2
23		|	2
24		|	2
25		|	1
26		|	2
27		|	2
28		|	2
29		|	2
30		|	2
31		|	2
249		|	1
250		|	0
251		|	0
252		|	0
253		|	3
254		|	0
255		|	3
256		|	3
257		|	0
258		|	3
259		|	0
260		|	0
261		|	0
262		|	3
263		|	3
264		|	1
265		|	3
266		|	0
267		|	0
268		|	3
269		|	1
270		|	0
271		|	0
272		|	2
273		|	3
274		|	3
275		|	3
276		|	2
277		|	3
278		|	1
279		|	3
559		|	1
560		|	0
561		|	0
562		|	0
563		|	0
564		|	2
565		|	0
566		|	0
567		|	0
568		|	0
569		|	2
570		|	1
571		|	0
572		|	1
573		|	0
574		|	0
575		|	0
576		|	0
577		|	0
578		|	1
579		|	1
580		|	2
581		|	1
582		|	1
583		|	1
584		|	1
585		|	2
586		|	1
587		|	1
588		|	1
589		|	1

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
1		|	0
5		|	0
7		|	0
8		|	0
10		|	0
11		|	0
13		|	0
16		|	0
250		|	0
251		|	0
252		|	0
254		|	0
257		|	0
259		|	0
260		|	0
261		|	0
266		|	0
267		|	0
270		|	0
271		|	0
560		|	0
561		|	0
562		|	0
563		|	0
565		|	0
566		|	0
567		|	0
568		|	0
571		|	0
573		|	0
574		|	0
575		|	0
576		|	0
577		|	0
2		|	1
3		|	1
6		|	1
9		|	1
18		|	1
21		|	1
25		|	1
249		|	1
264		|	1
269		|	1
278		|	1
559		|	1
570		|	1
572		|	1
578		|	1
579		|	1
581		|	1
582		|	1
583		|	1
584		|	1
586		|	1
587		|	1
588		|	1
589		|	1
4		|	2
12		|	2
14		|	2
15		|	2
17		|	2
19		|	2
20		|	2
22		|	2
23		|	2
24		|	2
26		|	2
27		|	2
28		|	2
29		|	2
30		|	2
31		|	2
272		|	2
276		|	2
564		|	2
569		|	2
580		|	2
585		|	2
253		|	3
255		|	3
256		|	3
258		|	3
262		|	3
263		|	3
265		|	3
268		|	3
273		|	3
274		|	3
275		|	3
277		|	3
279		|	3

