K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	1
2		|	1
3		|	1
4		|	1
5		|	1
6		|	1
7		|	1
8		|	3
9		|	1
10		|	3
11		|	1
12		|	3
13		|	1
14		|	0
15		|	3
16		|	1
17		|	0
18		|	1
19		|	2
20		|	2
21		|	1
22		|	3
23		|	2
24		|	2
25		|	0
26		|	3
27		|	3
28		|	0
29		|	0
30		|	0
31		|	0
249		|	1
250		|	1
251		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
259		|	1
260		|	1
261		|	1
262		|	1
263		|	1
264		|	1
265		|	1
266		|	1
267		|	1
268		|	1
269		|	1
270		|	1
271		|	1
272		|	1
273		|	1
274		|	1
275		|	1
276		|	1
277		|	1
278		|	1
279		|	1
559		|	1
560		|	1
561		|	1
562		|	0
563		|	1
564		|	1
565		|	1
566		|	2
567		|	3
568		|	1
569		|	1
570		|	0
571		|	3
572		|	1
573		|	0
574		|	1
575		|	0
576		|	1
577		|	1
578		|	1
579		|	1
580		|	1
581		|	3
582		|	1
583		|	1
584		|	0
585		|	0
586		|	1
587		|	1
588		|	1
589		|	1

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
14		|	0
17		|	0
25		|	0
28		|	0
29		|	0
30		|	0
31		|	0
562		|	0
570		|	0
573		|	0
575		|	0
584		|	0
585		|	0
1		|	1
2		|	1
3		|	1
4		|	1
5		|	1
6		|	1
7		|	1
9		|	1
11		|	1
13		|	1
16		|	1
18		|	1
21		|	1
249		|	1
250		|	1
251		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
259		|	1
260		|	1
261		|	1
262		|	1
263		|	1
264		|	1
265		|	1
266		|	1
267		|	1
268		|	1
269		|	1
270		|	1
271		|	1
272		|	1
273		|	1
274		|	1
275		|	1
276		|	1
277		|	1
278		|	1
279		|	1
559		|	1
560		|	1
561		|	1
563		|	1
564		|	1
565		|	1
568		|	1
569		|	1
572		|	1
574		|	1
576		|	1
577		|	1
578		|	1
579		|	1
580		|	1
582		|	1
583		|	1
586		|	1
587		|	1
588		|	1
589		|	1
19		|	2
20		|	2
23		|	2
24		|	2
566		|	2
8		|	3
10		|	3
12		|	3
15		|	3
22		|	3
26		|	3
27		|	3
567		|	3
571		|	3
581		|	3

