K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	0
2		|	0
3		|	3
4		|	1
5		|	2
6		|	1
7		|	2
8		|	0
9		|	2
10		|	3
11		|	0
12		|	0
13		|	2
14		|	0
15		|	0
16		|	2
17		|	0
18		|	2
19		|	0
20		|	0
21		|	2
22		|	0
23		|	0
24		|	0
25		|	0
26		|	0
27		|	0
28		|	0
29		|	0
30		|	0
31		|	0
249		|	2
250		|	2
251		|	2
252		|	2
253		|	2
254		|	2
255		|	2
256		|	2
257		|	2
258		|	2
259		|	3
260		|	2
261		|	2
262		|	1
263		|	2
264		|	2
265		|	1
266		|	2
267		|	2
268		|	2
269		|	2
270		|	3
271		|	2
272		|	0
273		|	2
274		|	1
275		|	1
276		|	2
277		|	2
278		|	1
279		|	1
559		|	1
560		|	3
561		|	3
562		|	3
563		|	3
564		|	3
565		|	3
566		|	1
567		|	3
568		|	3
569		|	3
570		|	1
571		|	3
572		|	3
573		|	3
574		|	3
575		|	3
576		|	3
577		|	1
578		|	3
579		|	2
580		|	1
581		|	1
582		|	1
583		|	1
584		|	1
585		|	1
586		|	1
587		|	1
588		|	3
589		|	1

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
1		|	0
2		|	0
8		|	0
11		|	0
12		|	0
14		|	0
15		|	0
17		|	0
19		|	0
20		|	0
22		|	0
23		|	0
24		|	0
25		|	0
26		|	0
27		|	0
28		|	0
29		|	0
30		|	0
31		|	0
272		|	0
4		|	1
6		|	1
262		|	1
265		|	1
274		|	1
275		|	1
278		|	1
279		|	1
559		|	1
566		|	1
570		|	1
577		|	1
580		|	1
581		|	1
582		|	1
583		|	1
584		|	1
585		|	1
586		|	1
587		|	1
589		|	1
5		|	2
7		|	2
9		|	2
13		|	2
16		|	2
18		|	2
21		|	2
249		|	2
250		|	2
251		|	2
252		|	2
253		|	2
254		|	2
255		|	2
256		|	2
257		|	2
258		|	2
260		|	2
261		|	2
263		|	2
264		|	2
266		|	2
267		|	2
268		|	2
269		|	2
271		|	2
273		|	2
276		|	2
277		|	2
579		|	2
3		|	3
10		|	3
259		|	3
270		|	3
560		|	3
561		|	3
562		|	3
563		|	3
564		|	3
565		|	3
567		|	3
568		|	3
569		|	3
571		|	3
572		|	3
573		|	3
574		|	3
575		|	3
576		|	3
578		|	3
588		|	3

