K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	2
3		|	1
4		|	2
5		|	1
6		|	2
7		|	1
8		|	1
9		|	2
10		|	1
11		|	2
12		|	2
13		|	3
14		|	1
15		|	3
16		|	2
17		|	3
18		|	1
19		|	3
20		|	2
21		|	1
22		|	3
23		|	1
24		|	3
25		|	3
26		|	3
27		|	0
28		|	3
29		|	2
30		|	1
31		|	1
249		|	1
250		|	3
251		|	1
252		|	1
253		|	0
254		|	1
255		|	1
256		|	1
257		|	1
258		|	0
259		|	1
260		|	0
261		|	3
262		|	1
263		|	1
264		|	1
265		|	1
266		|	1
267		|	3
268		|	2
269		|	3
270		|	2
271		|	0
272		|	1
273		|	3
274		|	3
275		|	1
276		|	0
277		|	0
278		|	2
279		|	0
559		|	3
560		|	1
561		|	3
562		|	1
563		|	1
564		|	1
565		|	1
566		|	3
567		|	1
568		|	3
569		|	1
570		|	3
571		|	3
572		|	3
573		|	3
574		|	3
575		|	1
576		|	3
577		|	1
578		|	3
579		|	3
580		|	3
581		|	2
582		|	3
583		|	2
584		|	0
585		|	3
586		|	3
587		|	2
588		|	3
589		|	3

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
27		|	0
253		|	0
258		|	0
260		|	0
271		|	0
276		|	0
277		|	0
279		|	0
584		|	0
3		|	1
5		|	1
7		|	1
8		|	1
10		|	1
14		|	1
18		|	1
21		|	1
23		|	1
30		|	1
31		|	1
249		|	1
251		|	1
252		|	1
254		|	1
255		|	1
256		|	1
257		|	1
259		|	1
262		|	1
263		|	1
264		|	1
265		|	1
266		|	1
272		|	1
275		|	1
560		|	1
562		|	1
563		|	1
564		|	1
565		|	1
567		|	1
569		|	1
575		|	1
577		|	1
2		|	2
4		|	2
6		|	2
9		|	2
11		|	2
12		|	2
16		|	2
20		|	2
29		|	2
268		|	2
270		|	2
278		|	2
581		|	2
583		|	2
587		|	2
1		|	3
13		|	3
15		|	3
17		|	3
19		|	3
22		|	3
24		|	3
25		|	3
26		|	3
28		|	3
250		|	3
261		|	3
267		|	3
269		|	3
273		|	3
274		|	3
559		|	3
561		|	3
566		|	3
568		|	3
570		|	3
571		|	3
572		|	3
573		|	3
574		|	3
576		|	3
578		|	3
579		|	3
580		|	3
582		|	3
585		|	3
586		|	3
588		|	3
589		|	3

