K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	0
2		|	3
3		|	3
4		|	0
5		|	0
6		|	3
7		|	1
8		|	1
9		|	3
10		|	1
11		|	1
12		|	0
13		|	1
14		|	0
15		|	2
16		|	1
17		|	2
18		|	3
19		|	0
20		|	0
21		|	1
22		|	0
23		|	2
24		|	0
25		|	1
26		|	0
27		|	0
28		|	0
29		|	0
30		|	2
31		|	0
249		|	3
250		|	1
251		|	0
252		|	3
253		|	2
254		|	3
255		|	0
256		|	0
257		|	3
258		|	1
259		|	3
260		|	3
261		|	3
262		|	0
263		|	1
264		|	3
265		|	0
266		|	3
267		|	0
268		|	1
269		|	3
270		|	1
271		|	3
272		|	0
273		|	1
274		|	0
275		|	2
276		|	2
277		|	0
278		|	1
279		|	1
559		|	3
560		|	1
561		|	3
562		|	1
563		|	1
564		|	0
565		|	1
566		|	1
567		|	1
568		|	3
569		|	0
570		|	3
571		|	1
572		|	3
573		|	3
574		|	1
575		|	1
576		|	3
577		|	0
578		|	1
579		|	3
580		|	0
581		|	1
582		|	3
583		|	3
584		|	1
585		|	0
586		|	1
587		|	1
588		|	1
589		|	3

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
1		|	0
4		|	0
5		|	0
12		|	0
14		|	0
19		|	0
20		|	0
22		|	0
24		|	0
26		|	0
27		|	0
28		|	0
29		|	0
31		|	0
251		|	0
255		|	0
256		|	0
262		|	0
265		|	0
267		|	0
272		|	0
274		|	0
277		|	0
564		|	0
569		|	0
577		|	0
580		|	0
585		|	0
7		|	1
8		|	1
10		|	1
11		|	1
13		|	1
16		|	1
21		|	1
25		|	1
250		|	1
258		|	1
263		|	1
268		|	1
270		|	1
273		|	1
278		|	1
279		|	1
560		|	1
562		|	1
563		|	1
565		|	1
566		|	1
567		|	1
571		|	1
574		|	1
575		|	1
578		|	1
581		|	1
584		|	1
586		|	1
587		|	1
588		|	1
15		|	2
17		|	2
23		|	2
30		|	2
253		|	2
275		|	2
276		|	2
2		|	3
3		|	3
6		|	3
9		|	3
18		|	3
249		|	3
252		|	3
254		|	3
257		|	3
259		|	3
260		|	3
261		|	3
264		|	3
266		|	3
269		|	3
271		|	3
559		|	3
561		|	3
568		|	3
570		|	3
572		|	3
573		|	3
576		|	3
579		|	3
582		|	3
583		|	3
589		|	3

