K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	2
2		|	0
3		|	3
4		|	0
5		|	3
6		|	0
7		|	2
8		|	2
9		|	2
10		|	2
11		|	0
12		|	0
13		|	2
14		|	2
15		|	3
16		|	2
17		|	2
18		|	3
19		|	3
20		|	3
21		|	2
22		|	3
23		|	2
24		|	3
25		|	3
26		|	2
27		|	1
28		|	3
29		|	2
30		|	2
31		|	2
249		|	2
250		|	0
251		|	2
252		|	0
253		|	0
254		|	0
255		|	0
256		|	0
257		|	2
258		|	0
259		|	2
260		|	0
261		|	2
262		|	0
263		|	0
264		|	2
265		|	0
266		|	0
267		|	2
268		|	2
269		|	2
270		|	3
271		|	0
272		|	2
273		|	2
274		|	2
275		|	0
276		|	1
277		|	0
278		|	1
279		|	0
559		|	0
560		|	2
561		|	3
562		|	2
563		|	3
564		|	2
565		|	3
566		|	2
567		|	3
568		|	2
569		|	2
570		|	2
571		|	2
572		|	2
573		|	2
574		|	2
575		|	2
576		|	2
577		|	2
578		|	2
579		|	3
580		|	2
581		|	3
582		|	2
583		|	3
584		|	1
585		|	2
586		|	2
587		|	2
588		|	2
589		|	2

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
2		|	0
4		|	0
6		|	0
11		|	0
12		|	0
250		|	0
252		|	0
253		|	0
254		|	0
255		|	0
256		|	0
258		|	0
260		|	0
262		|	0
263		|	0
265		|	0
266		|	0
271		|	0
275		|	0
277		|	0
279		|	0
559		|	0
27		|	1
276		|	1
278		|	1
584		|	1
1		|	2
7		|	2
8		|	2
9		|	2
10		|	2
13		|	2
14		|	2
16		|	2
17		|	2
21		|	2
23		|	2
26		|	2
29		|	2
30		|	2
31		|	2
249		|	2
251		|	2
257		|	2
259		|	2
261		|	2
264		|	2
267		|	2
268		|	2
269		|	2
272		|	2
273		|	2
274		|	2
560		|	2
562		|	2
564		|	2
566		|	2
568		|	2
569		|	2
570		|	2
571		|	2
572		|	2
573		|	2
574		|	2
575		|	2
576		|	2
577		|	2
578		|	2
580		|	2
582		|	2
585		|	2
586		|	2
587		|	2
588		|	2
589		|	2
3		|	3
5		|	3
15		|	3
18		|	3
19		|	3
20		|	3
22		|	3
24		|	3
25		|	3
28		|	3
270		|	3
561		|	3
563		|	3
565		|	3
567		|	3
579		|	3
581		|	3
583		|	3

