K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	3
3		|	3
4		|	3
5		|	2
6		|	3
7		|	2
8		|	1
9		|	3
10		|	2
11		|	3
12		|	3
13		|	3
14		|	3
15		|	0
16		|	3
17		|	1
18		|	2
19		|	1
20		|	1
21		|	0
22		|	3
23		|	3
24		|	3
25		|	3
26		|	1
27		|	3
28		|	1
29		|	1
30		|	3
31		|	3
249		|	2
250		|	3
251		|	3
252		|	0
253		|	2
254		|	0
255		|	0
256		|	0
257		|	2
258		|	2
259		|	3
260		|	1
261		|	2
262		|	0
263		|	0
264		|	3
265		|	0
266		|	1
267		|	1
268		|	0
269		|	3
270		|	1
271		|	0
272		|	3
273		|	2
274		|	0
275		|	0
276		|	1
277		|	0
278		|	0
279		|	0
559		|	3
560		|	3
561		|	3
562		|	1
563		|	3
564		|	3
565		|	3
566		|	1
567		|	3
568		|	3
569		|	3
570		|	1
571		|	3
572		|	1
573		|	1
574		|	3
575		|	3
576		|	0
577		|	3
578		|	3
579		|	2
580		|	0
581		|	0
582		|	3
583		|	3
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	3

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
15		|	0
21		|	0
252		|	0
254		|	0
255		|	0
256		|	0
262		|	0
263		|	0
265		|	0
268		|	0
271		|	0
274		|	0
275		|	0
277		|	0
278		|	0
279		|	0
576		|	0
580		|	0
581		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
8		|	1
17		|	1
19		|	1
20		|	1
26		|	1
28		|	1
29		|	1
260		|	1
266		|	1
267		|	1
270		|	1
276		|	1
562		|	1
566		|	1
570		|	1
572		|	1
573		|	1
5		|	2
7		|	2
10		|	2
18		|	2
249		|	2
253		|	2
257		|	2
258		|	2
261		|	2
273		|	2
579		|	2
1		|	3
2		|	3
3		|	3
4		|	3
6		|	3
9		|	3
11		|	3
12		|	3
13		|	3
14		|	3
16		|	3
22		|	3
23		|	3
24		|	3
25		|	3
27		|	3
30		|	3
31		|	3
250		|	3
251		|	3
259		|	3
264		|	3
269		|	3
272		|	3
559		|	3
560		|	3
561		|	3
563		|	3
564		|	3
565		|	3
567		|	3
568		|	3
569		|	3
571		|	3
574		|	3
575		|	3
577		|	3
578		|	3
582		|	3
583		|	3
589		|	3

