K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	2
2		|	1
3		|	1
4		|	2
5		|	1
6		|	2
7		|	2
8		|	0
9		|	1
10		|	3
11		|	2
12		|	3
13		|	0
14		|	0
15		|	1
16		|	1
17		|	0
18		|	1
19		|	1
20		|	3
21		|	3
22		|	1
23		|	0
24		|	1
25		|	1
26		|	0
27		|	1
28		|	0
29		|	3
30		|	0
31		|	0
249		|	2
250		|	2
251		|	2
252		|	2
253		|	2
254		|	2
255		|	2
256		|	2
257		|	2
258		|	2
259		|	2
260		|	2
261		|	2
262		|	2
263		|	2
264		|	2
265		|	2
266		|	2
267		|	0
268		|	3
269		|	1
270		|	0
271		|	2
272		|	0
273		|	2
274		|	3
275		|	3
276		|	1
277		|	3
278		|	3
279		|	2
559		|	2
560		|	0
561		|	0
562		|	0
563		|	3
564		|	0
565		|	0
566		|	0
567		|	1
568		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
574		|	0
575		|	0
576		|	0
577		|	0
578		|	3
579		|	3
580		|	0
581		|	1
582		|	0
583		|	1
584		|	1
585		|	2
586		|	2
587		|	3
588		|	0
589		|	3

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
8		|	0
13		|	0
14		|	0
17		|	0
23		|	0
26		|	0
28		|	0
30		|	0
31		|	0
267		|	0
270		|	0
272		|	0
560		|	0
561		|	0
562		|	0
564		|	0
565		|	0
566		|	0
568		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
574		|	0
575		|	0
576		|	0
577		|	0
580		|	0
582		|	0
588		|	0
2		|	1
3		|	1
5		|	1
9		|	1
15		|	1
16		|	1
18		|	1
19		|	1
22		|	1
24		|	1
25		|	1
27		|	1
269		|	1
276		|	1
567		|	1
581		|	1
583		|	1
584		|	1
1		|	2
4		|	2
6		|	2
7		|	2
11		|	2
249		|	2
250		|	2
251		|	2
252		|	2
253		|	2
254		|	2
255		|	2
256		|	2
257		|	2
258		|	2
259		|	2
260		|	2
261		|	2
262		|	2
263		|	2
264		|	2
265		|	2
266		|	2
271		|	2
273		|	2
279		|	2
559		|	2
585		|	2
586		|	2
10		|	3
12		|	3
20		|	3
21		|	3
29		|	3
268		|	3
274		|	3
275		|	3
277		|	3
278		|	3
563		|	3
578		|	3
579		|	3
587		|	3
589		|	3

