K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	1
3		|	1
4		|	3
5		|	2
6		|	1
7		|	2
8		|	1
9		|	1
10		|	1
11		|	1
12		|	3
13		|	1
14		|	1
15		|	3
16		|	1
17		|	1
18		|	2
19		|	1
20		|	3
21		|	2
22		|	1
23		|	3
24		|	1
25		|	1
26		|	1
27		|	1
28		|	1
29		|	1
30		|	3
31		|	1
249		|	2
250		|	0
251		|	0
252		|	0
253		|	0
254		|	0
255		|	0
256		|	0
257		|	2
258		|	0
259		|	0
260		|	0
261		|	2
262		|	0
263		|	0
264		|	0
265		|	0
266		|	0
267		|	0
268		|	3
269		|	3
270		|	1
271		|	0
272		|	1
273		|	0
274		|	3
275		|	3
276		|	1
277		|	3
278		|	3
279		|	3
559		|	3
560		|	1
561		|	2
562		|	1
563		|	1
564		|	0
565		|	2
566		|	1
567		|	2
568		|	1
569		|	1
570		|	1
571		|	1
572		|	1
573		|	1
574		|	1
575		|	1
576		|	2
577		|	1
578		|	3
579		|	2
580		|	3
581		|	3
582		|	3
583		|	3
584		|	3
585		|	3
586		|	3
587		|	3
588		|	3
589		|	1

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
250		|	0
251		|	0
252		|	0
253		|	0
254		|	0
255		|	0
256		|	0
258		|	0
259		|	0
260		|	0
262		|	0
263		|	0
264		|	0
265		|	0
266		|	0
267		|	0
271		|	0
273		|	0
564		|	0
2		|	1
3		|	1
6		|	1
8		|	1
9		|	1
10		|	1
11		|	1
13		|	1
14		|	1
16		|	1
17		|	1
19		|	1
22		|	1
24		|	1
25		|	1
26		|	1
27		|	1
28		|	1
29		|	1
31		|	1
270		|	1
272		|	1
276		|	1
560		|	1
562		|	1
563		|	1
566		|	1
568		|	1
569		|	1
570		|	1
571		|	1
572		|	1
573		|	1
574		|	1
575		|	1
577		|	1
589		|	1
5		|	2
7		|	2
18		|	2
21		|	2
249		|	2
257		|	2
261		|	2
561		|	2
565		|	2
567		|	2
576		|	2
579		|	2
1		|	3
4		|	3
12		|	3
15		|	3
20		|	3
23		|	3
30		|	3
268		|	3
269		|	3
274		|	3
275		|	3
277		|	3
278		|	3
279		|	3
559		|	3
578		|	3
580		|	3
581		|	3
582		|	3
583		|	3
584		|	3
585		|	3
586		|	3
587		|	3
588		|	3

