K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	1
2		|	1
3		|	2
4		|	1
5		|	2
6		|	1
7		|	2
8		|	2
9		|	2
10		|	2
11		|	1
12		|	0
13		|	2
14		|	2
15		|	3
16		|	2
17		|	2
18		|	2
19		|	3
20		|	0
21		|	0
22		|	2
23		|	2
24		|	3
25		|	2
26		|	2
27		|	3
28		|	2
29		|	0
30		|	2
31		|	2
249		|	2
250		|	1
251		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	2
258		|	1
259		|	1
260		|	1
261		|	1
262		|	1
263		|	1
264		|	2
265		|	1
266		|	1
267		|	2
268		|	0
269		|	2
270		|	2
271		|	1
272		|	2
273		|	1
274		|	2
275		|	0
276		|	3
277		|	0
278		|	0
279		|	1
559		|	1
560		|	2
561		|	2
562		|	2
563		|	2
564		|	2
565		|	2
566		|	2
567		|	2
568		|	2
569		|	2
570		|	2
571		|	2
572		|	2
573		|	2
574		|	2
575		|	2
576		|	2
577		|	2
578		|	2
579		|	0
580		|	2
581		|	3
582		|	2
583		|	3
584		|	3
585		|	2
586		|	1
587		|	2
588		|	2
589		|	2

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
12		|	0
20		|	0
21		|	0
29		|	0
268		|	0
275		|	0
277		|	0
278		|	0
579		|	0
1		|	1
2		|	1
4		|	1
6		|	1
11		|	1
250		|	1
251		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
258		|	1
259		|	1
260		|	1
261		|	1
262		|	1
263		|	1
265		|	1
266		|	1
271		|	1
273		|	1
279		|	1
559		|	1
586		|	1
3		|	2
5		|	2
7		|	2
8		|	2
9		|	2
10		|	2
13		|	2
14		|	2
16		|	2
17		|	2
18		|	2
22		|	2
23		|	2
25		|	2
26		|	2
28		|	2
30		|	2
31		|	2
249		|	2
257		|	2
264		|	2
267		|	2
269		|	2
270		|	2
272		|	2
274		|	2
560		|	2
561		|	2
562		|	2
563		|	2
564		|	2
565		|	2
566		|	2
567		|	2
568		|	2
569		|	2
570		|	2
571		|	2
572		|	2
573		|	2
574		|	2
575		|	2
576		|	2
577		|	2
578		|	2
580		|	2
582		|	2
585		|	2
587		|	2
588		|	2
589		|	2
15		|	3
19		|	3
24		|	3
27		|	3
276		|	3
581		|	3
583		|	3
584		|	3

