K-Means Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	2
2		|	2
3		|	2
4		|	2
5		|	3
6		|	2
7		|	3
8		|	3
9		|	2
10		|	3
11		|	2
12		|	2
13		|	3
14		|	2
15		|	0
16		|	2
17		|	3
18		|	3
19		|	2
20		|	2
21		|	0
22		|	2
23		|	2
24		|	2
25		|	2
26		|	2
27		|	2
28		|	2
29		|	2
30		|	2
31		|	2
249		|	3
250		|	2
251		|	2
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
259		|	2
260		|	1
261		|	3
262		|	1
263		|	1
264		|	2
265		|	1
266		|	1
267		|	1
268		|	0
269		|	2
270		|	2
271		|	1
272		|	2
273		|	1
274		|	0
275		|	1
276		|	1
277		|	1
278		|	0
279		|	0
559		|	2
560		|	2
561		|	3
562		|	3
563		|	2
564		|	2
565		|	3
566		|	3
567		|	3
568		|	2
569		|	2
570		|	2
571		|	3
572		|	3
573		|	3
574		|	2
575		|	2
576		|	2
577		|	2
578		|	0
579		|	0
580		|	0
581		|	0
582		|	2
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	2

K-Means Clustering Results (sorted by cluster):
Gesture	|	Cluster
15		|	0
21		|	0
268		|	0
274		|	0
278		|	0
279		|	0
578		|	0
579		|	0
580		|	0
581		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
260		|	1
262		|	1
263		|	1
265		|	1
266		|	1
267		|	1
271		|	1
273		|	1
275		|	1
276		|	1
277		|	1
1		|	2
2		|	2
3		|	2
4		|	2
6		|	2
9		|	2
11		|	2
12		|	2
14		|	2
16		|	2
19		|	2
20		|	2
22		|	2
23		|	2
24		|	2
25		|	2
26		|	2
27		|	2
28		|	2
29		|	2
30		|	2
31		|	2
250		|	2
251		|	2
259		|	2
264		|	2
269		|	2
270		|	2
272		|	2
559		|	2
560		|	2
563		|	2
564		|	2
568		|	2
569		|	2
570		|	2
574		|	2
575		|	2
576		|	2
577		|	2
582		|	2
589		|	2
5		|	3
7		|	3
8		|	3
10		|	3
13		|	3
17		|	3
18		|	3
249		|	3
261		|	3
561		|	3
562		|	3
565		|	3
566		|	3
567		|	3
571		|	3
572		|	3
573		|	3

