Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	0
2		|	2
3		|	1
4		|	2
5		|	0
6		|	2
7		|	0
8		|	0
9		|	1
10		|	0
11		|	0
12		|	2
13		|	0
14		|	0
15		|	1
16		|	1
17		|	0
18		|	0
19		|	1
20		|	0
21		|	0
22		|	0
23		|	0
24		|	3
25		|	1
26		|	0
27		|	2
28		|	0
29		|	0
30		|	0
31		|	0
249		|	0
250		|	2
251		|	0
252		|	2
253		|	2
254		|	2
255		|	0
256		|	2
257		|	0
258		|	2
259		|	0
260		|	2
261		|	0
262		|	0
263		|	0
264		|	0
265		|	0
266		|	2
267		|	0
268		|	0
269		|	0
270		|	0
271		|	2
272		|	0
273		|	0
274		|	0
275		|	0
276		|	2
277		|	2
278		|	0
279		|	2
559		|	0
560		|	0
561		|	0
562		|	0
563		|	0
564		|	0
565		|	0
566		|	0
567		|	0
568		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
574		|	0
575		|	0
576		|	0
577		|	0
578		|	0
579		|	0
580		|	0
581		|	3
582		|	0
583		|	3
584		|	2
585		|	0
586		|	0
587		|	0
588		|	0
589		|	0

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
1		|	0
5		|	0
7		|	0
8		|	0
10		|	0
11		|	0
13		|	0
14		|	0
17		|	0
18		|	0
20		|	0
21		|	0
22		|	0
23		|	0
26		|	0
28		|	0
29		|	0
30		|	0
31		|	0
249		|	0
251		|	0
255		|	0
257		|	0
259		|	0
261		|	0
262		|	0
263		|	0
264		|	0
265		|	0
267		|	0
268		|	0
269		|	0
270		|	0
272		|	0
273		|	0
274		|	0
275		|	0
278		|	0
559		|	0
560		|	0
561		|	0
562		|	0
563		|	0
564		|	0
565		|	0
566		|	0
567		|	0
568		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
574		|	0
575		|	0
576		|	0
577		|	0
578		|	0
579		|	0
580		|	0
582		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	0
3		|	1
9		|	1
15		|	1
16		|	1
19		|	1
25		|	1
2		|	2
4		|	2
6		|	2
12		|	2
27		|	2
250		|	2
252		|	2
253		|	2
254		|	2
256		|	2
258		|	2
260		|	2
266		|	2
271		|	2
276		|	2
277		|	2
279		|	2
584		|	2
24		|	3
581		|	3
583		|	3

