Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	3
3		|	2
4		|	3
5		|	2
6		|	1
7		|	2
8		|	1
9		|	2
10		|	2
11		|	2
12		|	3
13		|	2
14		|	3
15		|	3
16		|	2
17		|	3
18		|	2
19		|	3
20		|	3
21		|	0
22		|	3
23		|	3
24		|	3
25		|	2
26		|	3
27		|	3
28		|	3
29		|	3
30		|	3
31		|	3
249		|	2
250		|	1
251		|	2
252		|	1
253		|	2
254		|	1
255		|	2
256		|	1
257		|	2
258		|	2
259		|	2
260		|	1
261		|	2
262		|	2
263		|	1
264		|	1
265		|	1
266		|	1
267		|	1
268		|	3
269		|	2
270		|	3
271		|	3
272		|	2
273		|	3
274		|	3
275		|	3
276		|	3
277		|	3
278		|	0
279		|	3
559		|	2
560		|	2
561		|	2
562		|	1
563		|	2
564		|	1
565		|	2
566		|	1
567		|	2
568		|	2
569		|	1
570		|	1
571		|	1
572		|	1
573		|	1
574		|	1
575		|	1
576		|	2
577		|	1
578		|	0
579		|	0
580		|	0
581		|	0
582		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	0

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
21		|	0
278		|	0
578		|	0
579		|	0
580		|	0
581		|	0
582		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	0
6		|	1
8		|	1
250		|	1
252		|	1
254		|	1
256		|	1
260		|	1
263		|	1
264		|	1
265		|	1
266		|	1
267		|	1
562		|	1
564		|	1
566		|	1
569		|	1
570		|	1
571		|	1
572		|	1
573		|	1
574		|	1
575		|	1
577		|	1
3		|	2
5		|	2
7		|	2
9		|	2
10		|	2
11		|	2
13		|	2
16		|	2
18		|	2
25		|	2
249		|	2
251		|	2
253		|	2
255		|	2
257		|	2
258		|	2
259		|	2
261		|	2
262		|	2
269		|	2
272		|	2
559		|	2
560		|	2
561		|	2
563		|	2
565		|	2
567		|	2
568		|	2
576		|	2
1		|	3
2		|	3
4		|	3
12		|	3
14		|	3
15		|	3
17		|	3
19		|	3
20		|	3
22		|	3
23		|	3
24		|	3
26		|	3
27		|	3
28		|	3
29		|	3
30		|	3
31		|	3
268		|	3
270		|	3
271		|	3
273		|	3
274		|	3
275		|	3
276		|	3
277		|	3
279		|	3

