Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	1
3		|	3
4		|	3
5		|	1
6		|	0
7		|	1
8		|	0
9		|	1
10		|	0
11		|	1
12		|	1
13		|	2
14		|	0
15		|	3
16		|	3
17		|	0
18		|	1
19		|	0
20		|	1
21		|	1
22		|	1
23		|	0
24		|	1
25		|	0
26		|	1
27		|	1
28		|	0
29		|	0
30		|	0
31		|	0
249		|	2
250		|	2
251		|	2
252		|	2
253		|	3
254		|	2
255		|	2
256		|	2
257		|	3
258		|	3
259		|	1
260		|	0
261		|	2
262		|	3
263		|	2
264		|	2
265		|	0
266		|	0
267		|	2
268		|	3
269		|	3
270		|	0
271		|	0
272		|	1
273		|	0
274		|	3
275		|	3
276		|	1
277		|	3
278		|	0
279		|	0
559		|	1
560		|	0
561		|	0
562		|	0
563		|	0
564		|	0
565		|	0
566		|	0
567		|	0
568		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
574		|	1
575		|	0
576		|	3
577		|	0
578		|	0
579		|	0
580		|	0
581		|	0
582		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	0

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
6		|	0
8		|	0
10		|	0
14		|	0
17		|	0
19		|	0
23		|	0
25		|	0
28		|	0
29		|	0
30		|	0
31		|	0
260		|	0
265		|	0
266		|	0
270		|	0
271		|	0
273		|	0
278		|	0
279		|	0
560		|	0
561		|	0
562		|	0
563		|	0
564		|	0
565		|	0
566		|	0
567		|	0
568		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
575		|	0
577		|	0
578		|	0
579		|	0
580		|	0
581		|	0
582		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	0
2		|	1
5		|	1
7		|	1
9		|	1
11		|	1
12		|	1
18		|	1
20		|	1
21		|	1
22		|	1
24		|	1
26		|	1
27		|	1
259		|	1
272		|	1
276		|	1
559		|	1
574		|	1
13		|	2
249		|	2
250		|	2
251		|	2
252		|	2
254		|	2
255		|	2
256		|	2
261		|	2
263		|	2
264		|	2
267		|	2
1		|	3
3		|	3
4		|	3
15		|	3
16		|	3
253		|	3
257		|	3
258		|	3
262		|	3
268		|	3
269		|	3
274		|	3
275		|	3
277		|	3
576		|	3

