Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	1
2		|	1
3		|	1
4		|	1
5		|	0
6		|	2
7		|	0
8		|	2
9		|	0
10		|	2
11		|	1
12		|	1
13		|	1
14		|	1
15		|	1
16		|	1
17		|	1
18		|	0
19		|	2
20		|	1
21		|	3
22		|	1
23		|	1
24		|	1
25		|	1
26		|	1
27		|	1
28		|	1
29		|	1
30		|	1
31		|	1
249		|	1
250		|	2
251		|	2
252		|	2
253		|	1
254		|	1
255		|	1
256		|	2
257		|	3
258		|	1
259		|	1
260		|	2
261		|	3
262		|	1
263		|	1
264		|	2
265		|	1
266		|	2
267		|	2
268		|	1
269		|	1
270		|	1
271		|	1
272		|	1
273		|	1
274		|	1
275		|	1
276		|	2
277		|	1
278		|	1
279		|	1
559		|	1
560		|	1
561		|	1
562		|	2
563		|	1
564		|	2
565		|	1
566		|	2
567		|	2
568		|	2
569		|	2
570		|	2
571		|	2
572		|	2
573		|	2
574		|	2
575		|	2
576		|	1
577		|	2
578		|	1
579		|	1
580		|	1
581		|	1
582		|	1
583		|	1
584		|	1
585		|	1
586		|	1
587		|	1
588		|	1
589		|	1

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
5		|	0
7		|	0
9		|	0
18		|	0
1		|	1
2		|	1
3		|	1
4		|	1
11		|	1
12		|	1
13		|	1
14		|	1
15		|	1
16		|	1
17		|	1
20		|	1
22		|	1
23		|	1
24		|	1
25		|	1
26		|	1
27		|	1
28		|	1
29		|	1
30		|	1
31		|	1
249		|	1
253		|	1
254		|	1
255		|	1
258		|	1
259		|	1
262		|	1
263		|	1
265		|	1
268		|	1
269		|	1
270		|	1
271		|	1
272		|	1
273		|	1
274		|	1
275		|	1
277		|	1
278		|	1
279		|	1
559		|	1
560		|	1
561		|	1
563		|	1
565		|	1
576		|	1
578		|	1
579		|	1
580		|	1
581		|	1
582		|	1
583		|	1
584		|	1
585		|	1
586		|	1
587		|	1
588		|	1
589		|	1
6		|	2
8		|	2
10		|	2
19		|	2
250		|	2
251		|	2
252		|	2
256		|	2
260		|	2
264		|	2
266		|	2
267		|	2
276		|	2
562		|	2
564		|	2
566		|	2
567		|	2
568		|	2
569		|	2
570		|	2
571		|	2
572		|	2
573		|	2
574		|	2
575		|	2
577		|	2
21		|	3
257		|	3
261		|	3

