Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	2
2		|	2
3		|	2
4		|	0
5		|	1
6		|	2
7		|	1
8		|	2
9		|	2
10		|	2
11		|	3
12		|	3
13		|	2
14		|	3
15		|	3
16		|	2
17		|	2
18		|	2
19		|	2
20		|	2
21		|	2
22		|	2
23		|	2
24		|	2
25		|	2
26		|	3
27		|	3
28		|	3
29		|	3
30		|	2
31		|	2
249		|	2
250		|	1
251		|	1
252		|	1
253		|	0
254		|	0
255		|	0
256		|	0
257		|	1
258		|	0
259		|	2
260		|	1
261		|	2
262		|	1
263		|	1
264		|	2
265		|	1
266		|	1
267		|	3
268		|	2
269		|	3
270		|	2
271		|	0
272		|	2
273		|	1
274		|	1
275		|	0
276		|	0
277		|	0
278		|	2
279		|	0
559		|	3
560		|	3
561		|	2
562		|	2
563		|	2
564		|	3
565		|	2
566		|	3
567		|	1
568		|	3
569		|	2
570		|	3
571		|	2
572		|	3
573		|	3
574		|	3
575		|	3
576		|	1
577		|	2
578		|	2
579		|	3
580		|	1
581		|	2
582		|	2
583		|	3
584		|	0
585		|	2
586		|	2
587		|	2
588		|	3
589		|	2

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
4		|	0
253		|	0
254		|	0
255		|	0
256		|	0
258		|	0
271		|	0
275		|	0
276		|	0
277		|	0
279		|	0
584		|	0
5		|	1
7		|	1
250		|	1
251		|	1
252		|	1
257		|	1
260		|	1
262		|	1
263		|	1
265		|	1
266		|	1
273		|	1
274		|	1
567		|	1
576		|	1
580		|	1
1		|	2
2		|	2
3		|	2
6		|	2
8		|	2
9		|	2
10		|	2
13		|	2
16		|	2
17		|	2
18		|	2
19		|	2
20		|	2
21		|	2
22		|	2
23		|	2
24		|	2
25		|	2
30		|	2
31		|	2
249		|	2
259		|	2
261		|	2
264		|	2
268		|	2
270		|	2
272		|	2
278		|	2
561		|	2
562		|	2
563		|	2
565		|	2
569		|	2
571		|	2
577		|	2
578		|	2
581		|	2
582		|	2
585		|	2
586		|	2
587		|	2
589		|	2
11		|	3
12		|	3
14		|	3
15		|	3
26		|	3
27		|	3
28		|	3
29		|	3
267		|	3
269		|	3
559		|	3
560		|	3
564		|	3
566		|	3
568		|	3
570		|	3
572		|	3
573		|	3
574		|	3
575		|	3
579		|	3
583		|	3
588		|	3

