Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	0
3		|	1
4		|	3
5		|	3
6		|	2
7		|	0
8		|	3
9		|	1
10		|	0
11		|	0
12		|	3
13		|	3
14		|	3
15		|	0
16		|	2
17		|	2
18		|	0
19		|	0
20		|	3
21		|	0
22		|	1
23		|	3
24		|	3
25		|	3
26		|	3
27		|	2
28		|	2
29		|	0
30		|	0
31		|	0
249		|	0
250		|	0
251		|	3
252		|	0
253		|	3
254		|	3
255		|	0
256		|	3
257		|	3
258		|	0
259		|	1
260		|	2
261		|	0
262		|	1
263		|	3
264		|	0
265		|	0
266		|	0
267		|	3
268		|	3
269		|	2
270		|	0
271		|	3
272		|	0
273		|	2
274		|	0
275		|	0
276		|	2
277		|	3
278		|	0
279		|	1
559		|	3
560		|	2
561		|	0
562		|	0
563		|	0
564		|	0
565		|	0
566		|	3
567		|	0
568		|	3
569		|	0
570		|	3
571		|	3
572		|	0
573		|	1
574		|	2
575		|	1
576		|	0
577		|	3
578		|	3
579		|	3
580		|	3
581		|	0
582		|	0
583		|	2
584		|	0
585		|	1
586		|	2
587		|	0
588		|	0
589		|	3

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
2		|	0
7		|	0
10		|	0
11		|	0
15		|	0
18		|	0
19		|	0
21		|	0
29		|	0
30		|	0
31		|	0
249		|	0
250		|	0
252		|	0
255		|	0
258		|	0
261		|	0
264		|	0
265		|	0
266		|	0
270		|	0
272		|	0
274		|	0
275		|	0
278		|	0
561		|	0
562		|	0
563		|	0
564		|	0
565		|	0
567		|	0
569		|	0
572		|	0
576		|	0
581		|	0
582		|	0
584		|	0
587		|	0
588		|	0
3		|	1
9		|	1
22		|	1
259		|	1
262		|	1
279		|	1
573		|	1
575		|	1
585		|	1
6		|	2
16		|	2
17		|	2
27		|	2
28		|	2
260		|	2
269		|	2
273		|	2
276		|	2
560		|	2
574		|	2
583		|	2
586		|	2
1		|	3
4		|	3
5		|	3
8		|	3
12		|	3
13		|	3
14		|	3
20		|	3
23		|	3
24		|	3
25		|	3
26		|	3
251		|	3
253		|	3
254		|	3
256		|	3
257		|	3
263		|	3
267		|	3
268		|	3
271		|	3
277		|	3
559		|	3
566		|	3
568		|	3
570		|	3
571		|	3
577		|	3
578		|	3
579		|	3
580		|	3
589		|	3

