Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	1
2		|	1
3		|	0
4		|	0
5		|	0
6		|	0
7		|	1
8		|	0
9		|	1
10		|	0
11		|	1
12		|	3
13		|	1
14		|	0
15		|	0
16		|	1
17		|	0
18		|	1
19		|	0
20		|	3
21		|	3
22		|	1
23		|	1
24		|	0
25		|	1
26		|	1
27		|	2
28		|	0
29		|	3
30		|	1
31		|	0
249		|	1
250		|	1
251		|	0
252		|	1
253		|	0
254		|	0
255		|	0
256		|	1
257		|	1
258		|	1
259		|	1
260		|	1
261		|	0
262		|	1
263		|	1
264		|	1
265		|	1
266		|	0
267		|	0
268		|	3
269		|	1
270		|	0
271		|	0
272		|	0
273		|	1
274		|	3
275		|	3
276		|	2
277		|	3
278		|	3
279		|	3
559		|	1
560		|	0
561		|	0
562		|	1
563		|	0
564		|	0
565		|	0
566		|	1
567		|	1
568		|	1
569		|	1
570		|	1
571		|	1
572		|	0
573		|	0
574		|	0
575		|	1
576		|	1
577		|	1
578		|	1
579		|	3
580		|	1
581		|	1
582		|	1
583		|	0
584		|	2
585		|	1
586		|	0
587		|	3
588		|	0
589		|	3

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
3		|	0
4		|	0
5		|	0
6		|	0
8		|	0
10		|	0
14		|	0
15		|	0
17		|	0
19		|	0
24		|	0
28		|	0
31		|	0
251		|	0
253		|	0
254		|	0
255		|	0
261		|	0
266		|	0
267		|	0
270		|	0
271		|	0
272		|	0
560		|	0
561		|	0
563		|	0
564		|	0
565		|	0
572		|	0
573		|	0
574		|	0
583		|	0
586		|	0
588		|	0
1		|	1
2		|	1
7		|	1
9		|	1
11		|	1
13		|	1
16		|	1
18		|	1
22		|	1
23		|	1
25		|	1
26		|	1
30		|	1
249		|	1
250		|	1
252		|	1
256		|	1
257		|	1
258		|	1
259		|	1
260		|	1
262		|	1
263		|	1
264		|	1
265		|	1
269		|	1
273		|	1
559		|	1
562		|	1
566		|	1
567		|	1
568		|	1
569		|	1
570		|	1
571		|	1
575		|	1
576		|	1
577		|	1
578		|	1
580		|	1
581		|	1
582		|	1
585		|	1
27		|	2
276		|	2
584		|	2
12		|	3
20		|	3
21		|	3
29		|	3
268		|	3
274		|	3
275		|	3
277		|	3
278		|	3
279		|	3
579		|	3
587		|	3
589		|	3

