Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	3
3		|	3
4		|	3
5		|	3
6		|	3
7		|	2
8		|	3
9		|	3
10		|	3
11		|	3
12		|	0
13		|	3
14		|	3
15		|	0
16		|	2
17		|	2
18		|	3
19		|	2
20		|	0
21		|	3
22		|	3
23		|	3
24		|	3
25		|	3
26		|	3
27		|	0
28		|	3
29		|	0
30		|	0
31		|	3
249		|	3
250		|	1
251		|	2
252		|	1
253		|	2
254		|	1
255		|	1
256		|	1
257		|	3
258		|	1
259		|	2
260		|	2
261		|	2
262		|	2
263		|	1
264		|	2
265		|	1
266		|	1
267		|	2
268		|	0
269		|	3
270		|	2
271		|	2
272		|	2
273		|	2
274		|	0
275		|	0
276		|	2
277		|	1
278		|	0
279		|	1
559		|	3
560		|	3
561		|	3
562		|	3
563		|	3
564		|	2
565		|	3
566		|	3
567		|	3
568		|	2
569		|	3
570		|	2
571		|	2
572		|	2
573		|	3
574		|	3
575		|	2
576		|	3
577		|	1
578		|	0
579		|	3
580		|	0
581		|	0
582		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
589		|	3

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
12		|	0
15		|	0
20		|	0
27		|	0
29		|	0
30		|	0
268		|	0
274		|	0
275		|	0
278		|	0
578		|	0
580		|	0
581		|	0
582		|	0
583		|	0
584		|	0
585		|	0
586		|	0
587		|	0
588		|	0
250		|	1
252		|	1
254		|	1
255		|	1
256		|	1
258		|	1
263		|	1
265		|	1
266		|	1
277		|	1
279		|	1
577		|	1
7		|	2
16		|	2
17		|	2
19		|	2
251		|	2
253		|	2
259		|	2
260		|	2
261		|	2
262		|	2
264		|	2
267		|	2
270		|	2
271		|	2
272		|	2
273		|	2
276		|	2
564		|	2
568		|	2
570		|	2
571		|	2
572		|	2
575		|	2
1		|	3
2		|	3
3		|	3
4		|	3
5		|	3
6		|	3
8		|	3
9		|	3
10		|	3
11		|	3
13		|	3
14		|	3
18		|	3
21		|	3
22		|	3
23		|	3
24		|	3
25		|	3
26		|	3
28		|	3
31		|	3
249		|	3
257		|	3
269		|	3
559		|	3
560		|	3
561		|	3
562		|	3
563		|	3
565		|	3
566		|	3
567		|	3
569		|	3
573		|	3
574		|	3
576		|	3
579		|	3
589		|	3

