Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	1
2		|	1
3		|	2
4		|	1
5		|	2
6		|	1
7		|	1
8		|	1
9		|	2
10		|	0
11		|	1
12		|	0
13		|	1
14		|	1
15		|	2
16		|	2
17		|	1
18		|	2
19		|	2
20		|	0
21		|	0
22		|	2
23		|	3
24		|	2
25		|	2
26		|	3
27		|	1
28		|	1
29		|	0
30		|	3
31		|	3
249		|	1
250		|	1
251		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
259		|	3
260		|	1
261		|	1
262		|	3
263		|	3
264		|	3
265		|	1
266		|	1
267		|	3
268		|	0
269		|	2
270		|	1
271		|	1
272		|	1
273		|	3
274		|	3
275		|	0
276		|	2
277		|	0
278		|	0
279		|	1
559		|	1
560		|	1
561		|	1
562		|	3
563		|	0
564		|	1
565		|	1
566		|	1
567		|	1
568		|	1
569		|	1
570		|	1
571		|	1
572		|	1
573		|	1
574		|	3
575		|	3
576		|	3
577		|	3
578		|	0
579		|	0
580		|	3
581		|	2
582		|	3
583		|	2
584		|	1
585		|	1
586		|	3
587		|	0
588		|	3
589		|	0

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
10		|	0
12		|	0
20		|	0
21		|	0
29		|	0
268		|	0
275		|	0
277		|	0
278		|	0
563		|	0
578		|	0
579		|	0
587		|	0
589		|	0
1		|	1
2		|	1
4		|	1
6		|	1
7		|	1
8		|	1
11		|	1
13		|	1
14		|	1
17		|	1
27		|	1
28		|	1
249		|	1
250		|	1
251		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
260		|	1
261		|	1
265		|	1
266		|	1
270		|	1
271		|	1
272		|	1
279		|	1
559		|	1
560		|	1
561		|	1
564		|	1
565		|	1
566		|	1
567		|	1
568		|	1
569		|	1
570		|	1
571		|	1
572		|	1
573		|	1
584		|	1
585		|	1
3		|	2
5		|	2
9		|	2
15		|	2
16		|	2
18		|	2
19		|	2
22		|	2
24		|	2
25		|	2
269		|	2
276		|	2
581		|	2
583		|	2
23		|	3
26		|	3
30		|	3
31		|	3
259		|	3
262		|	3
263		|	3
264		|	3
267		|	3
273		|	3
274		|	3
562		|	3
574		|	3
575		|	3
576		|	3
577		|	3
580		|	3
582		|	3
586		|	3
588		|	3

