Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	3
2		|	3
3		|	1
4		|	3
5		|	2
6		|	0
7		|	2
8		|	0
9		|	1
10		|	2
11		|	3
12		|	3
13		|	2
14		|	3
15		|	3
16		|	3
17		|	0
18		|	2
19		|	3
20		|	3
21		|	1
22		|	3
23		|	3
24		|	3
25		|	3
26		|	3
27		|	3
28		|	3
29		|	3
30		|	3
31		|	3
249		|	2
250		|	0
251		|	3
252		|	0
253		|	2
254		|	0
255		|	2
256		|	0
257		|	2
258		|	2
259		|	2
260		|	0
261		|	2
262		|	2
263		|	0
264		|	0
265		|	0
266		|	0
267		|	0
268		|	3
269		|	3
270		|	3
271		|	3
272		|	3
273		|	3
274		|	3
275		|	3
276		|	3
277		|	3
278		|	1
279		|	3
559		|	3
560		|	3
561		|	2
562		|	0
563		|	2
564		|	0
565		|	2
566		|	0
567		|	2
568		|	2
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
574		|	3
575		|	0
576		|	2
577		|	0
578		|	1
579		|	1
580		|	1
581		|	1
582		|	1
583		|	1
584		|	1
585		|	1
586		|	1
587		|	1
588		|	1
589		|	1

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
6		|	0
8		|	0
17		|	0
250		|	0
252		|	0
254		|	0
256		|	0
260		|	0
263		|	0
264		|	0
265		|	0
266		|	0
267		|	0
562		|	0
564		|	0
566		|	0
569		|	0
570		|	0
571		|	0
572		|	0
573		|	0
575		|	0
577		|	0
3		|	1
9		|	1
21		|	1
278		|	1
578		|	1
579		|	1
580		|	1
581		|	1
582		|	1
583		|	1
584		|	1
585		|	1
586		|	1
587		|	1
588		|	1
589		|	1
5		|	2
7		|	2
10		|	2
13		|	2
18		|	2
249		|	2
253		|	2
255		|	2
257		|	2
258		|	2
259		|	2
261		|	2
262		|	2
561		|	2
563		|	2
565		|	2
567		|	2
568		|	2
576		|	2
1		|	3
2		|	3
4		|	3
11		|	3
12		|	3
14		|	3
15		|	3
16		|	3
19		|	3
20		|	3
22		|	3
23		|	3
24		|	3
25		|	3
26		|	3
27		|	3
28		|	3
29		|	3
30		|	3
31		|	3
251		|	3
268		|	3
269		|	3
270		|	3
271		|	3
272		|	3
273		|	3
274		|	3
275		|	3
276		|	3
277		|	3
279		|	3
559		|	3
560		|	3
574		|	3

