Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	1
2		|	1
3		|	1
4		|	1
5		|	3
6		|	3
7		|	1
8		|	3
9		|	1
10		|	3
11		|	1
12		|	0
13		|	3
14		|	3
15		|	1
16		|	1
17		|	1
18		|	3
19		|	1
20		|	0
21		|	0
22		|	1
23		|	3
24		|	2
25		|	1
26		|	3
27		|	2
28		|	3
29		|	0
30		|	3
31		|	3
249		|	3
250		|	1
251		|	3
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
259		|	3
260		|	1
261		|	1
262		|	3
263		|	3
264		|	3
265		|	1
266		|	1
267		|	3
268		|	0
269		|	3
270		|	3
271		|	1
272		|	3
273		|	3
274		|	0
275		|	0
276		|	2
277		|	2
278		|	0
279		|	2
559		|	1
560		|	3
561		|	3
562		|	3
563		|	0
564		|	3
565		|	1
566		|	3
567		|	1
568		|	3
569		|	3
570		|	3
571		|	3
572		|	3
573		|	3
574		|	3
575		|	3
576		|	3
577		|	3
578		|	3
579		|	0
580		|	3
581		|	2
582		|	3
583		|	1
584		|	2
585		|	3
586		|	3
587		|	0
588		|	3
589		|	0

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
12		|	0
20		|	0
21		|	0
29		|	0
268		|	0
274		|	0
275		|	0
278		|	0
563		|	0
579		|	0
587		|	0
589		|	0
1		|	1
2		|	1
3		|	1
4		|	1
7		|	1
9		|	1
11		|	1
15		|	1
16		|	1
17		|	1
19		|	1
22		|	1
25		|	1
250		|	1
252		|	1
253		|	1
254		|	1
255		|	1
256		|	1
257		|	1
258		|	1
260		|	1
261		|	1
265		|	1
266		|	1
271		|	1
559		|	1
565		|	1
567		|	1
583		|	1
24		|	2
27		|	2
276		|	2
277		|	2
279		|	2
581		|	2
584		|	2
5		|	3
6		|	3
8		|	3
10		|	3
13		|	3
14		|	3
18		|	3
23		|	3
26		|	3
28		|	3
30		|	3
31		|	3
249		|	3
251		|	3
259		|	3
262		|	3
263		|	3
264		|	3
267		|	3
269		|	3
270		|	3
272		|	3
273		|	3
560		|	3
561		|	3
562		|	3
564		|	3
566		|	3
568		|	3
569		|	3
570		|	3
571		|	3
572		|	3
573		|	3
574		|	3
575		|	3
576		|	3
577		|	3
578		|	3
580		|	3
582		|	3
585		|	3
586		|	3
588		|	3

