Laplacian-based Spectral Clustering Results (sorted by gesture):
Gesture	|	Cluster
1		|	0
2		|	1
3		|	1
4		|	2
5		|	0
6		|	3
7		|	0
8		|	3
9		|	0
10		|	1
11		|	1
12		|	2
13		|	0
14		|	3
15		|	2
16		|	1
17		|	3
18		|	0
19		|	3
20		|	2
21		|	2
22		|	3
23		|	2
24		|	2
25		|	1
26		|	3
27		|	2
28		|	3
29		|	2
30		|	2
31		|	3
249		|	0
250		|	0
251		|	0
252		|	0
253		|	0
254		|	3
255		|	1
256		|	3
257		|	1
258		|	1
259		|	0
260		|	3
261		|	0
262		|	1
263		|	0
264		|	3
265		|	1
266		|	3
267		|	3
268		|	2
269		|	0
270		|	3
271		|	3
272		|	1
273		|	2
274		|	2
275		|	2
276		|	3
277		|	2
278		|	2
279		|	2
559		|	0
560		|	0
561		|	0
562		|	3
563		|	0
564		|	3
565		|	1
566		|	3
567		|	1
568		|	0
569		|	1
570		|	1
571		|	0
572		|	3
573		|	3
574		|	1
575		|	3
576		|	0
577		|	3
578		|	2
579		|	0
580		|	2
581		|	2
582		|	2
583		|	2
584		|	2
585		|	2
586		|	2
587		|	2
588		|	2
589		|	2

Laplacian-based Spectral Clustering Results (sorted by cluster):
Gesture	|	Cluster
1		|	0
5		|	0
7		|	0
9		|	0
13		|	0
18		|	0
249		|	0
250		|	0
251		|	0
252		|	0
253		|	0
259		|	0
261		|	0
263		|	0
269		|	0
559		|	0
560		|	0
561		|	0
563		|	0
568		|	0
571		|	0
576		|	0
579		|	0
2		|	1
3		|	1
10		|	1
11		|	1
16		|	1
25		|	1
255		|	1
257		|	1
258		|	1
262		|	1
265		|	1
272		|	1
565		|	1
567		|	1
569		|	1
570		|	1
574		|	1
4		|	2
12		|	2
15		|	2
20		|	2
21		|	2
23		|	2
24		|	2
27		|	2
29		|	2
30		|	2
268		|	2
273		|	2
274		|	2
275		|	2
277		|	2
278		|	2
279		|	2
578		|	2
580		|	2
581		|	2
582		|	2
583		|	2
584		|	2
585		|	2
586		|	2
587		|	2
588		|	2
589		|	2
6		|	3
8		|	3
14		|	3
17		|	3
19		|	3
22		|	3
26		|	3
28		|	3
31		|	3
254		|	3
256		|	3
260		|	3
264		|	3
266		|	3
267		|	3
270		|	3
271		|	3
276		|	3
562		|	3
564		|	3
566		|	3
572		|	3
573		|	3
575		|	3
577		|	3

